voxel,f,nx,ny,nz,W_voigt,W_lam,ratio
21754,0.921875,-0.796626750341,0.595864590999,-0.10164255917,2.78325945441e-13,2.76666058921e-13,0.994036177556
21756,0.953125,0.464099878648,0.627943161625,0.624738896186,4.73837035048e-13,1.6028620359e-13,0.338272848542
21757,0.40625,0.59126111093,0.51370883913,0.621702121036,1.22075502401e-13,9.1379363506e-14,0.748547920823
21764,0.453125,-0.864720831132,0.420579719687,0.274537035013,2.18572659622e-13,2.09884356106e-13,0.960249815641
21779,0.96875,0.68658904551,0.695812237972,-0.210809895578,5.51243557877e-13,5.05100557199e-13,0.916292898087
21780,0.671875,0.0347813278541,0.956046375282,-0.291145303144,4.48740189377e-13,3.68831987817e-13,0.821927691231
21781,0.96875,-0.524285741764,0.843931247872,-0.113598018682,5.44859236023e-13,5.10078621465e-13,0.93616587137
21783,0.328125,0.964274367717,-0.12359458295,0.234306045226,7.84531217051e-14,7.38869103056e-14,0.941796944466
21786,0.71875,-0.496175542517,0.865393260359,0.0700309641056,3.49260439221e-13,3.36168208923e-13,0.962514419535
21787,0.5,0.531501620871,0.846847673847,-0.0188426195361,2.83785683997e-13,2.74527912838e-13,0.967377596257
21788,0.015625,0.505765005579,0.859056601873,-0.0788892509135,1.77684360758e-14,1.66421882918e-14,0.93661525532
21796,0.078125,-0.65998000281,0.740493592356,-0.12686857598,3.83665329203e-14,3.50634061563e-14,0.913906039651
21797,0.53125,-0.387239719227,0.915814334203,-0.10644014807,4.733994178e-13,4.72835322023e-13,0.998808414722
21798,0.484375,0.671802444771,0.740206981885,-0.0278406028692,5.30049197877e-13,5.2454871063e-13,0.989622685461
21802,0.03125,-0.149750998288,0.800770683339,-0.579949093642,1.09212426725e-14,9.63989343836e-16,0.088267367803
21805,0.171875,-0.597276557829,0.799845336484,-0.0592296477469,9.63049579407e-14,9.60596565949e-14,0.99745286898
21806,0.484375,0.215751935717,0.965750436529,-0.144142972702,3.80308148711e-13,3.74998662284e-13,0.986038988528
21807,0.046875,0.758709302601,0.642729057026,-0.106111042787,3.2854404969e-14,3.13400249419e-14,0.95390633224
21809,0.0625,-0.707401140354,0.705939874186,-0.035107273605,4.61572972439e-14,4.43836883262e-14,0.961574679983
21810,0.421875,-0.0313915911452,0.998304822289,-0.0490107110764,3.76825402439e-13,3.76245295196e-13,0.998460541038
21811,0.0625,0.654021443088,0.754011206398,-0.0610168223319,5.24283813473e-14,5.23900895021e-14,0.999269635181
21813,0.0625,-0.688182074054,0.717738371029,-0.106099310572,4.52221923189e-14,4.51522602466e-14,0.998453589517
21814,0.453125,0.0542115755415,0.98795549629,-0.144931164445,3.90357567393e-13,3.83775701204e-13,0.98313887897
21815,0.0625,0.731396564038,0.676831799303,-0.0834133176792,4.9675783784e-14,4.95985817025e-14,0.998445880958
21817,0.0625,-0.715089921024,0.698770259837,-0.0191449423413,5.46069148928e-14,5.4241333533e-14,0.99330521857
21818,0.421875,-0.0221101978682,0.999686020037,-0.011789846996,3.9933935846e-13,3.98424056826e-13,0.997707960374
21819,0.0625,0.670312070784,0.741790502152,-0.0207021418935,6.09397816367e-14,6.0679186109e-14,0.995723720684
21821,0.0625,-0.70720577089,0.703353803162,-0.0717873609871,6.14094127862e-14,6.08783461549e-14,0.991352032088
21822,0.5,0.0294372976199,0.992278249926,-0.120487842675,5.26434473072e-13,5.16973353499e-13,0.982027925493
21823,0.0625,0.737003338181,0.672975037646,-0.0626951211512,7.28417867234e-14,7.1666797126e-14,0.983869291924
21825,0.0625,-0.685377379483,0.728183191415,-0.00266222333384,6.44459272628e-14,6.42554381237e-14,0.997044202059
21826,0.453125,-0.0515457287432,0.998661409084,0.0042927677359,4.84283517936e-13,4.84003798173e-13,0.999422404949
21827,0.0625,0.630916752863,0.77577200942,0.0110381319751,7.32693256846e-14,7.31613894033e-14,0.998526855812
21829,0.171875,-0.803137357915,0.594463060268,-0.0398001796183,1.65007153232e-13,1.64933072265e-13,0.999551043901
21830,0.75,-0.0342548301796,0.994553483673,-0.0984376692306,7.95695914639e-13,7.75329524623e-13,0.974404304909
21831,0.1875,0.796685342347,0.603239392812,-0.0373456858203,2.26524704391e-13,2.24184084362e-13,0.989667263734
21833,0.0625,-0.638246440316,0.767924211176,0.0541653700607,6.52523899799e-14,6.48824877528e-14,0.994331207988
21834,0.4375,-0.0605591863594,0.992664305325,0.104643021178,4.78142390652e-13,4.7427752285e-13,0.991916910365
21835,0.0625,0.573931720697,0.808435993578,0.130512927581,8.4987500786e-14,8.42833004878e-14,0.991714072168
21837,0.1875,-0.710425710908,0.703770957195,-0.00132253143469,1.49831693913e-13,1.49682497208e-13,0.999004238016
21838,0.65625,-0.0196171626268,0.995011045162,-0.0978171096261,6.07831995575e-13,5.93129122699e-13,0.975810959306
21839,0.1875,0.670015740648,0.742289295645,0.00924709977644,1.94098266574e-13,1.93751349014e-13,0.998212670486
21841,0.1875,-0.623511077916,0.766453214738,0.154218693203,1.11300486921e-13,1.1066540823e-13,0.994294016962
21842,0.609375,0.068232530344,0.988013318621,0.138470227959,4.56301363202e-13,4.52269580284e-13,0.991164210227
21843,0.15625,0.687200938875,0.721676620555,0.0832930066381,1.16141286466e-13,1.14914298807e-13,0.989435387737
21845,0.1875,-0.750443179189,0.659206447102,0.0477691836652,1.39725280504e-13,1.38200680703e-13,0.989088590155
21846,0.75,-0.000588917894722,0.998222078658,0.0596014668877,5.9446084628e-13,5.90707310312e-13,0.993685814649
21847,0.1875,0.769353487309,0.63775481766,0.0369324263575,1.5357481281e-13,1.53461142244e-13,0.999259835881
21849,0.0625,-0.640857620496,0.767571350109,0.0116504396723,6.09408187223e-14,6.07359335267e-14,0.996637964505
21850,0.5,0.00983112536588,0.999951673135,1.92174100862e-05,4.53682280944e-13,4.53558869469e-13,0.99972797819
21851,0.0625,0.655040056937,0.755594124762,0.000205993097493,6.61732499184e-14,6.56719333944e-14,0.992424181606
21853,0.1875,-0.738302814509,0.673912557836,-0.0274010671077,1.20016272251e-13,1.19944988151e-13,0.999406046374
21854,0.65625,-0.00229472357922,0.997546921706,-0.0699633706942,4.85690234954e-13,4.82941813683e-13,0.994341205416
21855,0.171875,0.739282245498,0.670598771223,-0.0613110881068,1.27248563038e-13,1.26608680271e-13,0.994971394945
21857,0.0625,-0.638790563761,0.769048978301,-0.0225894803744,4.05826451639e-14,4.0396183892e-14,0.99540539383
21858,0.5,-0.0142209088574,0.999881551938,0.00588624202266,3.36457666587e-13,3.36314288248e-13,0.999573859199
21859,0.0625,0.63722695714,0.770657493397,-0.0053696335986,4.722630083e-14,4.68091758931e-14,0.991167528907
21861,0.15625,-0.717527895895,0.686818615305,-0.115904737966,7.44864477542e-14,7.44572448212e-14,0.999607943003
21862,0.625,0.0202239348148,0.978476637693,-0.205364217794,3.75545217492e-13,3.49396238637e-13,0.930370624795
21863,0.140625,0.739042635069,0.658570334915,-0.141778339389,8.49221611962e-14,8.32121914444e-14,0.979864269495
21865,0.0625,-0.683917119422,0.728855930989,-0.0320375658213,3.27471408769e-14,3.25555342525e-14,0.994148905241
21866,0.5,-0.034227918373,0.999406808042,0.00380547546082,2.81179815025e-13,2.80813995109e-13,0.998698982298
21867,0.078125,0.636530927709,0.771039194962,-0.0180814242293,5.11827117484e-14,5.09266377872e-14,0.994996866081
21869,0.125,-0.694544954602,0.699451053574,-0.168450377534,5.29574696549e-14,5.27310471161e-14,0.995724445668
21870,0.59375,-0.0153764482983,0.961507084886,-0.274349577275,3.05044384978e-13,2.72591039162e-13,0.893611069685
21871,0.125,0.70803239187,0.686580483855,-0.165219161275,6.96728642199e-14,6.75439637899e-14,0.969444338857
21874,0.4375,-0.416294663929,0.906203446216,-0.0741219727939,2.07954486067e-13,2.06600822756e-13,0.993490578937
21875,0.390625,0.341735924744,0.93525418755,-0.0922830559183,1.60919774941e-13,1.60249159418e-13,0.995832609615
21882,0.09375,-0.648805872899,0.760634025994,-0.0220639477797,3.70592567494e-14,3.43078269869e-14,0.925755937818
21883,0.46875,-0.277348455764,0.960753182508,-0.00558179062789,4.43010451368e-13,3.47963645916e-13,0.785452453416
21884,0.3125,0.631825395532,0.743645238415,0.218605647101,5.12495260314e-13,3.23992518823e-13,0.632186371099
21885,0.015625,0.758285086793,0.523981678573,0.387874886617,4.84361398257e-14,3.08129126565e-14,0.636155415508
21892,0.046875,-0.917227502159,0.205143481124,0.341481861064,3.99732126431e-14,3.37809931259e-14,0.845090771851
21893,0.96875,-0.92119511425,0.158224764544,0.355477826829,4.95256644113e-13,4.876948861e-13,0.984731637418
21907,0.6875,0.9672179248,-0.126508802278,-0.220193117269,4.6382231788e-13,4.16073437414e-13,0.897053508155
21909,0.8125,-0.976480711328,-0.0876347588244,-0.196991292828,5.20593942986e-13,4.80029287242e-13,0.922080046666
21911,0.421875,0.940643687439,-0.0846675621801,0.328665266183,6.69962624848e-14,6.4903155472e-14,0.968757854018
22006,0.3125,-0.0770978011955,-0.985642012354,-0.150219015217,1.30386174471e-13,1.2084894089e-13,0.926853950426
22007,0.046875,0.60343967302,-0.778393773922,-0.173100241899,1.66312821279e-14,1.64536238841e-14,0.989317826344
22011,0.03125,-0.746042755156,-0.53984085052,-0.389861595427,6.30683529848e-14,2.89654693809e-14,0.459271060843
22012,0.09375,0.531683031116,-0.578477989901,-0.618608413799,2.45612965006e-13,4.9221043223e-14,0.200400834792
22020,0.078125,-0.894697560978,-0.0953504293181,0.43637663779,6.74303339971e-14,6.08270937212e-14,0.902073148916
22021,0.96875,-0.923054049862,-0.133236587866,0.360859020514,5.12254539477e-13,5.0107611777e-13,0.978177993857
22036,0.84375,0.0927077077234,-0.936433012256,-0.338376261706,4.88790923185e-13,3.73072453248e-13,0.763255689809
