iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
46,0.00358003222812,58590,58590,0.528294741398,0.00131817127357,0.0483362901927,7.33487073643e-11,3.24983458324e-11,2725,1,0,60648.3444171,13.8565406799,8554,0,0,0.280601713324,0.999766035425,0,0.1,0.258735708769,1,12457.6073348,1,1,0,0,0,3,-5,0,8,16,0,0,0,-2,0,0,0,0,0,0,60.8102234169
47,0.00357427736627,58590,58590,0.528294741398,0.00106156576305,0.0483362901927,8.84316912762e-11,3.25056545565e-11,2727,1,0,63391.855083,15.3290419579,8618,0,0,0.27777834646,0.999766035425,0,0.1,0.2586673338,1,12559.1131509,1,1,0,0,0,6,-2,0,8,16,0,0,0,3,0,0,0,0,0,0,63.5838625003
48,0.00356556848627,58591,58591,0.528303758205,-0.00118991533969,0.0483362901927,1.15034540189e-10,3.21691450945e-11,2728,1,0,50092.1706667,12.2392501831,8784,0,0,0.281380957988,0.999766035425,0,0.1,0.254771398226,1,12610.2134486,1,1,0,0,0,3,-5,0,8,16,0,0,0,-3,0,0,0,0,0,0,50.3073164583
49,0.00355784095164,58590,58590,0.528294741398,-0.00151190251477,0.0483362901927,1.13711721018e-10,3.19546152619e-11,2728,1,0,21899.5067091,12.1754159927,8977,0,0,0.285060283929,0.999766035425,0,0.1,0.254852967824,1,12690.8881493,1,1,0,0,0,3,-4,0,7,16,0,0,0,0,0,0,0,0,0,0,22.0488822497
50,0.00355389548449,58591,58591,0.528303758205,0.000814218159728,0.0483362901927,9.59076511263e-11,3.17731192588e-11,2727,1,0,21986.7012091,12.2568750381,9183,0,0,0.284848325634,0.999145504946,0,0.1,0.251971260974,1,12696.8918163,1,1,0,0,0,3,-4,0,7,16,0,0,0,0,0,0,0,0,0,0,37.7801001249
51,0.00356122101676,58591,58591,0.528303758205,0.00199739593688,0.0483362901927,9.99334894321e-11,3.20098214252e-11,2734,1,0,22728.5532079,13.1865000725,8657,0,0,0.279996527888,0.999145504946,0,0.1,0.244674532936,1,12649.9789634,1,1,0,0,0,3,-4,0,7,16,0,0,0,0,0,0,0,0,0,0,22.8930141251
52,0.00355051877032,58590,58590,0.528294741398,-0.00344942706118,0.0483362901927,1.05745448508e-10,3.15933882877e-11,2732,1,0,22355.5786252,12.6567497253,8778,0,0,0.28835476195,0.999145504946,0,0.1,0.245533250464,1,12732.7416081,1,1,0,0,0,3,-5,0,8,16,0,0,0,0,0,0,0,0,0,0,22.5105101671
53,0.00354641178116,58590,58590,0.528294741398,0.000763102976982,0.0483362901927,9.7247147908e-11,3.13776100281e-11,2734,1,0,22450.8563328,12.0918331146,8948,0,0,0.287164271181,0.999145504946,0,0.1,0.244553655165,1,12776.7597812,1,1,0,0,0,4,-3,0,7,16,0,0,0,1,0,0,0,0,0,0,22.607562542
54,0.00354221624616,58590,58590,0.528294741398,0.00043084187097,0.0483362901927,8.19040037321e-11,3.1189517472e-11,2735,1,0,22428.6879587,12.2674999237,9200,0,0,0.286517475428,0.999145504946,0,0.1,0.245734716689,1,12854.7074299,1,1,0,0,0,3,-5,0,8,16,0,0,0,-1,0,0,0,0,0,0,22.5744784167
55,0.00353614407204,58590,58590,0.528294741398,-0.00161801646477,0.0483362901927,6.63072308368e-11,3.09018113795e-11,2734,1,0,22611.9433746,12.6071252823,9407,0,0,0.286780673163,0.998124505012,0,0.1,0.24562905357,1,12880.5238645,1,1,0,0,0,5,-2,0,7,16,0,0,0,2,0,0,0,0,0,0,39.4225106668
56,0.00354805914227,58591,58591,0.528303758205,0.00399639252898,0.0483362901927,5.95948004513e-11,3.13393017887e-11,2739,1,0,23901.6512499,12.1745419502,8749,0,0,0.277997737041,0.998124505012,0,0.1,0.238661855673,1,12812.0304552,1,1,0,0,0,3,-5,0,8,16,0,0,0,-2,0,0,0,0,0,0,24.0586601673
