posture,rung,iter,penalty,beta,cg,carried_mg,hier_built,cycles,compliance,change,achieved_vf
S2 Peetz values 1it-per-val,0,22,1.2500,1.0000,28,1,1,28,6.87126385749,0.1998,0.0569905535
S2 Peetz values 1it-per-val,0,23,1.5000,1.0000,31,1,1,31,9.79560140155,0.1998,0.0573551139
S2 Peetz values 1it-per-val,0,24,1.7500,1.0000,27,1,1,27,10.4004363604,0.18811546174,0.0597712144
S2 Peetz values 1it-per-val,0,25,2.0000,1.0000,28,1,1,28,11.0136706065,0.159279983934,0.0604614667
S2 Peetz values 1it-per-val,0,26,2.2500,1.0000,29,1,1,29,12.1492984424,0.194261387343,0.0603139334
S2 Peetz values 1it-per-val,0,27,2.5000,1.0000,27,1,1,27,13.3584412025,0.1998,0.0598886473
S2 Peetz values 1it-per-val,0,28,2.7500,1.0000,30,1,1,30,14.0588833151,0.193351316689,0.0595335275
S2 Peetz values 1it-per-val,0,29,3.0000,1.0000,29,1,1,29,14.1414770853,0.187678083336,0.0592473191
S2 Peetz values 1it-per-val,0,30,3.2500,1.0000,24,1,1,24,13.7617542545,0.1998,0.0591486507
S2 Peetz values 1it-per-val,0,31,3.5000,1.0000,22,1,1,22,13.2755033393,0.188710593058,0.0591558784
S2 Peetz values 1it-per-val,0,32,3.7500,1.0000,23,1,1,23,12.874505503,0.1998,0.0592691787
S2 Peetz values 1it-per-val,0,33,4.0000,1.0000,22,1,1,22,12.7813078008,0.1998,0.0592986766
S2 Peetz values 1it-per-val,0,34,4.0000,1.0000,22,1,1,22,11.9851123896,0.1998,0.0593480075
S2 Peetz values 1it-per-val,0,35,4.0000,1.0000,22,1,1,22,11.4693934752,0.1998,0.059419193
S2 Peetz values 1it-per-val,0,36,4.0000,1.0000,22,1,1,22,11.1762318886,0.1998,0.0594480851
S2 Peetz values 1it-per-val,0,37,4.0000,1.0000,22,1,1,22,11.0051553965,0.165417701478,0.0594647741
