SIMP penalization-continuation probe — big stagnation fixture, 20-iteration rung budget, margin_stop 1.5, ladder 0.68 0.52 0.38
part 24x6x24 @ 1.00 mm; design box [-4.2 -4.5 -4.2]-[28.2 10.6 28.2] (pad scale 0.35) gives the dilute regime the V-cycle stagnates on.
EXPECTED, stated before the numbers: with p ramped from 1, the early high-contrast solves are softer, so the multigrid V-cycle should carry MORE early iterations -> FEWER stagnating iterations and (if the CG saved exceeds the ramp's cost) less wall. The design WILL differ; the certified compliance is the test of whether it is better.

### S0 OFF (shipped p=3) — schedule: (empty = OFF, constant p = 3)

===== S0 OFF (shipped p=3) =====
 rung iter |    p  | beta |    CG | carried | built | cycles | compliance
    1   21 |  1.00 |  1.0 |    25 |   MG    |   Y   |     25 | 4.8947
    1   22 |  1.00 |  1.0 |    28 |   MG    |   Y   |     28 | 4.41713
    1   23 |  1.00 |  1.0 |    46 |   MG    |   Y   |     46 | 4.84767
    1   24 |  1.00 |  1.0 |    45 |   MG    |   Y   |     45 | 22.8926
    1   25 |  1.00 |  1.0 |    54 |   MG    |   Y   |     54 | 33.0766
    1   26 |  1.00 |  1.0 |    68 |   MG    |   Y   |     68 | 133.551
    1   27 |  1.00 |  1.0 |    50 |   MG    |   Y   |     50 | 41.5782
    1   28 |  1.00 |  1.0 |    64 |   MG    |   Y   |     64 | 398.917
    1   29 |  1.00 |  1.0 |    45 |   MG    |   Y   |     45 | 33.4353
    1   30 |  1.00 |  1.0 |    62 |   MG    |   Y   |     62 | 79.9613
    1   31 |  1.00 |  1.0 |    44 |   MG    |   Y   |     44 | 27.3712
    1   32 |  1.00 |  1.0 |    49 |   MG    |   Y   |     49 | 16.0959
    1   33 |  1.00 |  2.0 |    37 |   MG    |   Y   |     37 | 12.761
    1   34 |  1.00 |  2.0 |    42 |   MG    |   Y   |     42 | 8.76077
    1   35 |  1.00 |  2.0 |    77 |   MG    |   Y   |     77 | 45.701
    1   36 |  1.00 |  2.0 |    63 |   MG    |   Y   |     63 | 28.6832
    1   37 |  1.00 |  2.0 |    46 |   MG    |   Y   |     46 | 23.1822
    1   38 |  1.00 |  2.0 |    73 |   MG    |   Y   |     73 | 13.8386
