rung,operator,iterations,wall_s,cut_max_mm,cut_rms_mm,cut_moved,cad_moved_bitwise,dihedral_before,dihedral_after,vol_before_mm3,vol_after_mm3,vol_drift_pct,mass_added_g,cad_dev_rms_before,cad_dev_rms_after,cad_removed_pct,active_first,active_last,converged,inward_vertices,worst_inward_mm,max_outward_mm,c1_clamped,min_section_mm2,min_section_fine_mm2,worst_aspect_before,worst_aspect_after
0.26,Close_r0.50_expl_C1on,40,4.09654,0.432203,0.00852649,27,0,9.0006,9.10008,288601,288602,0.000481546,0.00172329,0.369795,0.369795,0,26,27,0,0,0,0.42632,1052,84.3313,133.767,6624.45,6624.45
0.26,Close_r0.50_expl_C1off,40,4.07454,16.3658,0.164002,107,0,9.0006,9.58196,288601,288757,0.0541406,0.19375,0.369795,0.369795,0,26,7,0,1,-2.12833,15.9975,0,84.3313,133.767,6624.45,6624.45
0.26,Close_r0.50_expl_dt.025,40,4.11914,0.432203,0.00852925,27,0,9.0006,9.09992,288601,288602,0.000482207,0.00172565,0.369795,0.369795,0,26,27,0,0,0,0.42632,984,84.3313,133.767,6624.45,6624.45
0.26,Close_r0.50_COUPLED,40,4.14237,0,0,0,0,9.0006,9.0006,288601,288601,0,0,0.369795,0.369795,0,26,26,0,0,0,0,0,84.3313,133.767,6624.45,6624.45
0.26,Close_r1.00_expl_C1on,40,4.2,0.486494,0.0536414,1065,0,9.0006,10.5798,288601,288786,0.0640128,0.229079,0.369795,0.369795,0,308,1049,0,0,0,0.42632,34415,84.3313,133.767,6624.45,6624.45
0.26,Close_r1.00_expl_C1off,40,4.23646,10.8391,0.830388,6079,0,9.0006,25.7956,288601,301842,4.58798,16.4188,0.369795,0.369795,0,308,2998,0,689,-6.52815,10.7454,0,11.6319,4.36197,6624.45,2837.72
0.26,Close_r1.00_expl_dt.025,40,4.13696,0.467634,0.0483015,890,0,9.0006,10.4222,288601,288746,0.0502339,0.17977,0.369795,0.369795,0,308,878,0,0,0,0.42632,21034,84.3313,133.767,6624.45,6624.45
0.26,Close_r1.00_COUPLED,40,4.18873,0.0179064,6.88738e-05,1,0,9.0006,9.00062,288601,288601,3.76121e-06,1.34601e-05,0.369795,0.369795,0,308,308,0,0,0,0.0179064,0,84.3313,133.767,6624.45,6624.45
0.26,Close_r1.71_expl_C1on,40,4.1791,0.663326,0.122842,5652,0,9.0006,15.2086,288601,289687,0.376104,1.34594,0.369795,0.369795,0,2890,5405,0,0,0,0.42632,187383,84.3313,133.767,6624.45,2837.72
0.26,Close_r1.71_expl_C1off,40,4.18534,10.5218,1.74992,18428,0,9.0006,40.9388,288601,367133,27.2113,97.3799,0.369795,0.369795,0,2890,15016,0,3235,-6.4973,9.23574,0,17.4479,19.6288,6624.45,9778.14
0.26,Close_r1.71_expl_dt.025,40,4.17462,0.548661,0.115553,5231,0,9.0006,14.6719,288601,289574,0.337013,1.20605,0.369795,0.369795,0,2890,5032,0,0,0,0.42632,115318,84.3313,133.767,6624.45,2837.72
0.26,Close_r1.71_COUPLED,40,4.18364,0.287502,0.00346423,165,0,9.0006,9.04449,288601,288605,0.00148613,0.00531834,0.369795,0.369795,0,2890,2888,0,0,0,0.2875,0,84.3313,133.767,6624.45,6624.45
0.26,Close_r3.41_expl_C1on,40,4.19142,0.734501,0.17706,15544,0,9.0006,19.0856,288601,291286,0.930475,3.32985,0.369795,0.369795,0,10717,11200,0,1,-0.42632,0.42632,342692,84.3313,135.221,6624.45,2837.72
0.26,Close_r3.41_expl_C1off,40,4.25072,10.6521,2.14351,30561,0,9.0006,47.3365,288601,431208,49.4132,176.833,0.369795,0.369795,0,10717,25850,0,5492,-7.33949,9.6654,0,31.9878,25.4448,6624.45,4768.93
0.26,Close_r3.41_expl_dt.025,40,4.4493,0.529628,0.147882,13390,0,9.0006,16.891,288601,290414,0.628352,2.24865,0.369795,0.369795,0,10717,8715,0,0,0,0.42632,163336,84.3313,135.221,6624.45,2837.72
0.26,Close_r3.41_COUPLED,40,4.22803,0.339845,0.0104084,1299,0,9.0006,9.23405,288601,288634,0.0115759,0.041426,0.369795,0.369795,0,10717,10646,0,0,0,0.339414,0,84.3313,133.767,6624.45,3057.58
0.26,Taubin_pairs_20,20,0.0444615,0.521282,0.140545,65801,0,9.0006,8.81667,288601,288568,-0.011462,-0.0410186,0.369795,0.369795,0,0,0,1,0,0,0,0,84.3313,148.307,0,0
0.26,Taubin_pairs_160,160,0.204005,0.805427,0.207832,67594,0,9.0006,8.18188,288601,288312,-0.100066,-0.358102,0.369795,0.369795,0,0,0,1,0,0,0,0,84.3313,139.583,0,0
