strategy,phase,iter,compliance,vol_frac,cg_iters,n_void,n_lower_gap,n_band,n_upper_gap,n_solid,change
s2_gappen,0,61,1.88560935e+02,0.35000,489,1758,634,3652,296,572,0.09104
s2_gappen,0,62,1.88483147e+02,0.35000,482,1776,548,3724,292,572,0.08350
s2_gappen,0,63,1.88394071e+02,0.35000,486,1798,614,3632,300,568,0.10609
s2_gappen,0,64,1.88316214e+02,0.35000,509,1812,512,3724,296,568,0.17338
s2_gappen,0,65,1.88210737e+02,0.35000,528,1826,566,3656,296,568,0.13205
s2_gappen,0,66,1.88115245e+02,0.35000,488,1846,494,3702,294,576,0.07585
s2_gappen,0,67,1.88056588e+02,0.35000,511,1856,556,3624,296,580,0.08726
s2_gappen,0,68,1.88020549e+02,0.35000,509,1880,454,3728,274,576,0.08839
s2_gappen,0,69,1.87966003e+02,0.35000,531,1888,504,3652,292,576,0.07357
s2_gappen,0,70,1.87925584e+02,0.35000,509,1900,460,3672,300,580,0.07080
s2_gappen,0,71,1.87888218e+02,0.35000,511,1900,478,3674,284,576,0.06812
s2_gappen,0,72,1.87866088e+02,0.35000,493,1912,446,3686,292,576,0.06305
s2_gappen,0,73,1.87846469e+02,0.35000,512,1916,492,3624,300,580,0.08159
s2_gappen,0,74,1.87817692e+02,0.35000,532,1920,438,3696,282,576,0.08159
s2_gappen,0,75,1.87770955e+02,0.35000,534,1928,458,3658,292,576,0.05937
s2_gappen,0,76,1.87745455e+02,0.35000,495,1928,448,3680,276,580,0.06153
s2_gappen,0,77,1.87719468e+02,0.35000,532,1932,492,3628,284,576,0.05721
s2_gappen,0,78,1.87712564e+02,0.35000,531,1940,440,3672,288,572,0.07393
s2_gappen,0,79,1.87662537e+02,0.35000,535,1944,456,3636,296,580,0.06332
s2_gappen,0,80,1.87644657e+02,0.35000,550,1948,446,3674,272,572,0.06973
s2_gappen,0,81,1.87618125e+02,0.35000,561,1956,462,3630,284,580,0.10204
s2_gappen,0,82,1.87585375e+02,0.35000,557,1964,440,3642,294,572,0.10686
s2_gappen,0,83,1.87588952e+02,0.35000,540,1964,466,3624,274,584,0.07880
s2_gappen,0,84,1.87550458e+02,0.35000,557,1968,440,3652,276,576,0.07636
s2_gappen,0,85,1.87518249e+02,0.35000,559,1968,459,3613,288,584,0.07248
s2_gappen,0,86,1.87528725e+02,0.35000,556,1968,416,3680,272,576,0.07248
