iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
39,0.00257709494808,75414,75414,0.679993507899,-0.00318549573421,0.0483362901927,9.77573253404e-12,7.0658071275e-12,2662,1,0,20441.7697082,13.2254171371,18204,0,0,0.315428119816,0.99974051464,0,0.1,0.362082764761,1,26923.1682714,1,1,0,0,0,24.3024957092
40,0.00257857261052,75415,75415,0.680002524706,0.00524707138538,0.0483362901927,8.85421162539e-12,7.16662524668e-12,2666,1,0,20763.5209999,12.9105000496,18274,0,0,0.309992187728,0.999585344955,0,0.1,0.360207244975,1,27144.9833355,1,1,0,0,0,42.2476480003
41,0.00257705408513,75415,75415,0.680002524706,-0.00919885933399,0.0483362901927,8.39942918077e-12,7.00386962015e-12,2665,1,0,34126.1235418,13.97479105,17837,0,0,0.309916866081,0.999585344955,0,0.1,0.349569043542,1,26263.1077323,1,1,0,0,0,38.184913625
42,0.00257789386142,75414,75414,0.679993507899,0.00441484153271,0.0483362901927,9.14523838228e-12,7.03580224843e-12,2676,1,0,34788.5612502,15.8624157906,17808,0,0,0.310212274503,0.999585344955,0,0.1,0.348069908599,1,26485.0428231,1,1,0,0,0,39.0492450418
43,0.00257672380607,75414,75414,0.679993507899,-0.00257305800915,0.0483362901927,9.55035292754e-12,6.98226743208e-12,2675,1,0,25035.3322082,13.5305838585,17855,0,0,0.310408145258,0.999585344955,0,0.1,0.345252139812,1,26393.1374094,1,1,0,0,0,29.1503605843
44,0.00257824700641,75414,75414,0.679993507899,0.00456906855106,0.0483362901927,9.9711808869e-12,7.04942440548e-12,2678,1,0,21396.5448341,13.4168329239,17826,0,0,0.310708300163,0.999585344955,0,0.1,0.343569900619,1,26550.7121519,1,1,0,0,0,25.7655252093
45,0.00257665273856,75415,75415,0.680002524706,-0.00447295606136,0.0483362901927,9.91379504671e-12,6.95992532636e-12,2674,1,0,20569.9832501,12.7082495689,17835,0,0,0.306811572374,0.999703989699,0,0.1,0.340863125549,1,26341.4805158,1,1,0,0,0,41.3854844589
46,0.00257725573896,75415,75415,0.680002524706,-0.00230185687542,0.0483362901927,1.00968280485e-11,6.92445317081e-12,2679,1,0,23175.0909162,13.0854997635,17368,0,0,0.306900988588,0.999703989699,0,0.1,0.331186916536,1,25679.1818873,1,1,0,0,0,27.2199405832
47,0.00257675431338,75415,75415,0.680002524706,-0.00263191759586,0.0483362901927,8.048836741e-12,6.91113858701e-12,2678,1,0,24322.1499162,13.8367090225,17312,0,0,0.306906373469,0.999703989699,0,0.1,0.328274714943,1,25485.640979,1,1,0,0,0,28.4406918329
48,0.00257774457406,75415,75415,0.680002524706,0.00382252037525,0.0483362901927,7.79152493831e-12,6.96877411252e-12,2676,1,0,23093.4026251,13.8167080879,17263,0,0,0.307426600502,0.999703989699,0,0.1,0.325279362994,1,25583.6285449,1,1,0,0,0,27.2244102089
49,0.00257533466538,75415,75415,0.680002524706,-0.0073853880167,0.0483362901927,7.44528764687e-12,6.75547085773e-12,2687,1,0,21556.364625,13.60795784,17149,0,0,0.307016169751,0.999703989699,0,0.1,0.320496295107,1,25296.4289573,1,1,0,0,0,25.5841984577
50,0.00257835887179,75415,75415,0.680002524706,0.00854544341564,0.0483362901927,7.91341532751e-12,7.04595917015e-12,2675,1,0,20368.0215831,12.6215419769,17229,0,0,0.303461862865,0.99946428405,0,0.1,0.318635494321,1,25490.1808004,1,1,0,0,0,41.1262566247
51,0.00257504480566,75415,75415,0.680002524706,-0.0135373324156,0.0483362901927,7.3712176228e-12,6.67612515158e-12,2691,1,0,20611.8652921,12.9789581299,16468,0,0,0.303148819837,0.99946428405,0,0.1,0.302992573159,1,24559.4417565,1,1,0,0,0,24.502887791
52,0.00257754809662,75415,75415,0.680002524706,0.00861845910549,0.0483362901927,6.77204598705e-12,6.87964591437e-12,2684,1,0,20229.4120407,12.1188750267,16502,0,0,0.303550755674,0.99946428405,0,0.1,0.301523563282,1,24823.1325853,1,1,0,0,0,24.362503625
53,0.00257706677233,75415,75415,0.680002524706,-0.00126771628857,0.0483362901927,6.56923878955e-12,6.86949798729e-12,2691,1,0,19936.1924582,11.9928750992,16660,0,0,0.303730474232,0.99946428405,0,0.1,0.299873739301,1,24793.1071452,1,1,0,0,0,23.9549412499
54,0.00257838978992,75415,75415,0.680002524706,0.00467337667942,0.0483362901927,6.94190435477e-12,6.93680490869e-12,2685,1,0,20196.6577501,12.5273747444,16644,0,0,0.30398429598,0.99946428405,0,0.1,0.298704157833,1,24990.1462305,1,1,0,0,0,23.8658127501
55,0.00257708688625,75415,75415,0.680002524706,-0.00368990004063,0.0483362901927,6.80581698989e-12,6.83529009954e-12,2693,1,0,20270.0698748,12.6750421524,16817,0,0,0.30390157894,0.99915994099,0,0.1,0.297380456523,1,24888.9281039,1,1,0,0,0,42.1224720003
56,0.00257842695072,75414,75414,0.679993507899,0.00108368694782,0.0483362901927,7.00083322996e-12,6.89219344952e-12,2688,1,0,21343.5544581,12.842458725,16443,0,0,0.30405380084,0.99915994099,0,0.1,0.292681280724,1,24763.2776445,1,1,0,0,0,25.1965780417
57,0.00257671913739,75415,75415,0.680002524706,-0.00386796891689,0.0483362901927,6.40108456816e-12,6.72223877091e-12,2694,1,0,20934.6022501,12.6781668663,16452,0,0,0.303922199555,0.99915994099,0,0.1,0.291478475225,1,24743.1733279,1,1,0,0,0,24.758737375
58,0.00257895162211,75415,75415,0.680002524706,0.00759325921535,0.0483362901927,6.49297349509e-12,6.9523898988e-12,2687,1,0,21647.4977913,13.8397917747,16641,0,0,0.304444887025,0.99915994099,0,0.1,0.29069343756,1,24963.0793243,1,1,0,0,0,25.538388791
59,0.00257628646636,75415,75415,0.680002524706,-0.00709630548954,0.0483362901927,5.98558876419e-12,6.67993353146e-12,2697,1,0,22835.0682497,11.86541605,16630,0,0,0.304213182452,0.99915994099,0,0.1,0.289749878126,1,24859.0738518,1,1,0,0,0,26.8012712081
60,0.00258033220572,75414,75414,0.679993507899,0.0110272318125,0.0483362901927,6.25306736825e-12,7.09739104729e-12,2689,1,0,20612.0765839,12.8456659317,16833,0,0,0.305496480638,0.999598695958,0,0.1,0.289135474964,1,25110.6636922,1,1,0,0,0,40.8635729998
