fixture,rho_target,rho_lib,N,vpc,state,ci,cj,ck,class,n_solid,cellavg_vm,cell_peak_vm,K_cell,K_far
sandwich,0.10000,0.09505,4,16,biax_xy,2,3,2,free_surface,488,84.2127,3529.1825,41.908,87.107
sandwich,0.10000,0.09505,4,16,biax_xy,3,3,2,grip,488,113.1224,5344.5838,47.246,131.915
sandwich,0.10000,0.09505,4,16,biax_xy,0,0,3,grip,488,121.7226,6129.7506,50.358,151.295
sandwich,0.10000,0.09505,4,16,biax_xy,1,0,3,free_surface,488,78.3068,3410.5302,43.553,84.179
sandwich,0.10000,0.09505,4,16,biax_xy,2,0,3,free_surface,488,78.3065,3410.6180,43.555,84.181
sandwich,0.10000,0.09505,4,16,biax_xy,3,0,3,grip,488,121.7234,6129.7104,50.358,151.294
sandwich,0.10000,0.09505,4,16,biax_xy,0,1,3,grip,488,92.6108,4387.1658,47.372,108.284
sandwich,0.10000,0.09505,4,16,biax_xy,1,1,3,free_surface,488,97.2198,4236.7875,43.579,104.572
sandwich,0.10000,0.09505,4,16,biax_xy,2,1,3,free_surface,488,97.2204,4236.8206,43.580,104.573
sandwich,0.10000,0.09505,4,16,biax_xy,3,1,3,grip,488,92.6107,4387.1803,47.372,108.284
sandwich,0.10000,0.09505,4,16,biax_xy,0,2,3,grip,488,92.6107,4387.1564,47.372,108.284
sandwich,0.10000,0.09505,4,16,biax_xy,1,2,3,free_surface,488,97.2198,4236.7972,43.580,104.573
sandwich,0.10000,0.09505,4,16,biax_xy,2,2,3,free_surface,488,97.2204,4236.8302,43.580,104.573
sandwich,0.10000,0.09505,4,16,biax_xy,3,2,3,grip,488,92.6107,4387.1707,47.372,108.284
sandwich,0.10000,0.09505,4,16,biax_xy,0,3,3,grip,488,121.7226,6129.7622,50.358,151.295
sandwich,0.10000,0.09505,4,16,biax_xy,1,3,3,free_surface,488,78.3066,3410.5624,43.554,84.180
sandwich,0.10000,0.09505,4,16,biax_xy,2,3,3,free_surface,488,78.3063,3410.6502,43.555,84.182
sandwich,0.10000,0.09505,4,16,biax_xy,3,3,3,grip,488,121.7234,6129.7220,50.358,151.294
sandwich,0.10000,0.09505,4,16,shear_xy,0,0,0,grip,488,55.7909,2661.8709,47.712,45.486
sandwich,0.10000,0.09505,4,16,shear_xy,1,0,0,free_surface,488,36.8767,1620.0137,43.931,27.683
sandwich,0.10000,0.09505,4,16,shear_xy,2,0,0,free_surface,488,36.8767,1620.0438,43.931,27.683
sandwich,0.10000,0.09505,4,16,shear_xy,3,0,0,grip,488,55.7907,2661.8461,47.711,45.486
sandwich,0.10000,0.09505,4,16,shear_xy,0,1,0,grip,488,57.2357,2244.1483,39.209,38.348
sandwich,0.10000,0.09505,4,16,shear_xy,1,1,0,free_surface,488,70.0754,2718.5124,38.794,46.454
sandwich,0.10000,0.09505,4,16,shear_xy,2,1,0,free_surface,488,70.0755,2718.5277,38.794,46.454
sandwich,0.10000,0.09505,4,16,shear_xy,3,1,0,grip,488,57.2355,2244.1303,39.209,38.348
sandwich,0.10000,0.09505,4,16,shear_xy,0,2,0,grip,488,57.2353,2244.1430,39.209,38.348
sandwich,0.10000,0.09505,4,16,shear_xy,1,2,0,free_surface,488,70.0749,2718.4973,38.794,46.454
sandwich,0.10000,0.09505,4,16,shear_xy,2,2,0,free_surface,488,70.0750,2718.5126,38.794,46.454
sandwich,0.10000,0.09505,4,16,shear_xy,3,2,0,grip,488,57.2351,2244.1249,39.209,38.348
sandwich,0.10000,0.09505,4,16,shear_xy,0,3,0,grip,488,55.7909,2661.8951,47.712,45.486
sandwich,0.10000,0.09505,4,16,shear_xy,1,3,0,free_surface,488,36.8768,1620.0286,43.931,27.683
sandwich,0.10000,0.09505,4,16,shear_xy,2,3,0,free_surface,488,36.8767,1620.0587,43.932,27.683
sandwich,0.10000,0.09505,4,16,shear_xy,3,3,0,grip,488,55.7907,2661.8703,47.712,45.486
sandwich,0.10000,0.09505,4,16,shear_xy,0,0,1,grip,488,56.9568,2658.5280,46.676,45.429
sandwich,0.10000,0.09505,4,16,shear_xy,1,0,1,free_surface,488,35.5232,1617.0975,45.522,27.633
sandwich,0.10000,0.09505,4,16,shear_xy,2,0,1,free_surface,488,35.5230,1617.0989,45.523,27.633
sandwich,0.10000,0.09505,4,16,shear_xy,3,0,1,grip,488,56.9565,2658.5099,46.676,45.429
sandwich,0.10000,0.09505,4,16,shear_xy,0,1,1,grip,488,58.4556,2265.9983,38.764,38.721
sandwich,0.10000,0.09505,4,16,shear_xy,1,1,1,interior,488,69.2951,2685.4107,38.753,45.888
sandwich,0.10000,0.09505,4,16,shear_xy,2,1,1,interior,488,69.2950,2685.4012,38.753,45.888
sandwich,0.10000,0.09505,4,16,shear_xy,3,1,1,grip,488,58.4550,2265.9725,38.764,38.721
sandwich,0.10000,0.09505,4,16,shear_xy,0,2,1,grip,488,58.4553,2265.9843,38.764,38.721
sandwich,0.10000,0.09505,4,16,shear_xy,1,2,1,interior,488,69.2947,2685.4037,38.753,45.888
sandwich,0.10000,0.09505,4,16,shear_xy,2,2,1,interior,488,69.2946,2685.3943,38.753,45.888
sandwich,0.10000,0.09505,4,16,shear_xy,3,2,1,grip,488,58.4547,2265.9585,38.764,38.721
sandwich,0.10000,0.09505,4,16,shear_xy,0,3,1,grip,488,56.9567,2658.5375,46.676,45.429
sandwich,0.10000,0.09505,4,16,shear_xy,1,3,1,free_surface,488,35.5233,1617.1158,45.523,27.633
sandwich,0.10000,0.09505,4,16,shear_xy,2,3,1,free_surface,488,35.5230,1617.1171,45.523,27.633
sandwich,0.10000,0.09505,4,16,shear_xy,3,3,1,grip,488,56.9564,2658.5194,46.676,45.429
sandwich,0.10000,0.09505,4,16,shear_xy,0,0,2,grip,488,56.9568,2658.5280,46.676,45.429
sandwich,0.10000,0.09505,4,16,shear_xy,1,0,2,free_surface,488,35.5232,1617.0975,45.522,27.633
sandwich,0.10000,0.09505,4,16,shear_xy,2,0,2,free_surface,488,35.5230,1617.0989,45.523,27.633
sandwich,0.10000,0.09505,4,16,shear_xy,3,0,2,grip,488,56.9565,2658.5099,46.676,45.429
sandwich,0.10000,0.09505,4,16,shear_xy,0,1,2,grip,488,58.4556,2265.9983,38.764,38.721
