==============================================================================
M3 — THE TOPOLOGY CURVES
==============================================================================

★ PER ARM — the whole run in one row

arm             it  b0 first  b0 last  b0 max  NEW tot  SPLIT tot  viol  revert  chi last  b1 last  cav
-------------------------------------------------------------------------------------------------------
MN_nucleating   60        87       41     518      263       -309    52       0       -89      135    5
MA_holes8       60        87       11     522      152        -72    52       0       -96      109    2
MC_stress       60         8        4       8      256         -2    57       0        -3        7    0
MB_gyr12        60        15       10     166       91        -10    45       0       -37       47    0
MB_gyr20        60        15        6      40       71          6    43       0       -15       21    0
MA_poor12       60       490        9     490      130       -479    53       0       -83       93    1
MA_rich6        60      1268       14    1268      207      -1235    47       0       -40       56    2
MA_phase        60        95       15     525      179        -72    53       0      -110      127    2

★ b0 = void components. NEW = components sharing no voxel with any
  previous void. SPLIT = the rest of the change in b0, i.e. existing void
  fragmenting as solid bridges across it. b1 = tunnels = b0 + b2 - chi.

==============================================================================
MN_nucleating — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
  3     16     +0     1      2    -103    119    0     2    0  0.0045043398
  4     15     -1     0     -1    -103    118    0     2    0  0.0042520761
  5     14     -1     1     -1    -103    117    0     3    0  0.0041096277
  6     17     +3     0      3    -101    118    0     3    0  0.0039117794
  7     15     -2     2     -2     -98    113    0     4    0  0.0037586885
  8     14     -1     3     -1     -98    112    0     5    0  0.0036543808
  9     12     -2     1     -1     -98    110    0     6    0  0.0035306689
 10     13     +1     0      1    -100    113    0     6    0  0.0034716076
 11     13     +0     1      0    -101    114    0     7    0  0.0033664589
 12     12     -1     1     -1    -103    115    0     8    0  0.0032330788
 13     12     +0     1      0    -104    116    0     9    0  0.0031359238
 14     21     +9     0      9     -97    118    0     9    0  0.0030630262
 15     25     +4     0      4    -111    136    0     9    0  0.0030001648
 16     32     +7     1      7    -104    136    0    10    0  0.0029465556
 17     27     -5     0     -5    -107    134    0    10    0  0.0028931220
 18     28     +1     2      1    -105    133    0    11    0  0.0028285669
 19     28     +0     0      0    -144    172    0    11    0  0.0027665580
 20     28     +0     1      0    -200    228    0    12    0  0.0027287215
 21    166   +138     2    137     -69    320   85    13    0  0.0026770022
 22    113    -53     2    -55     -29    186   44    14    0  0.0026552139
 23     72    -41     1    -41      28     59   15    15    0  0.0026335307
 24     57    -15     4    -16      60     10   13    16    0  0.0026137663
 25     51     -6     1     -5      35     31   15    17    0  0.0025992838
 26     32    -19     1    -19     -26     63    5    18    0  0.0025813481
 27     32     +0     1      0     -26     61    3    19    0  0.0025727633
 28     27     -5     3     -5     -23     53    3    20    0  0.0025667841
 29     28     +1     2      1     -26     57    3    21    0  0.0025614168
 30     30     +2     1      2     -19     54    5    22    0  0.0025562454
 31     17    -13     0    -13     -21     39    1    22    0  0.0025518390
 32     14     -3     3     -4     -25     40    1    23    0  0.0025491500
 33     13     -1     4      0     -24     38    1    24    0  0.0025458596
 34     17     +4     1      4     -23     42    2    25    0  0.0025435866
 35     19     +2     1      2     -24     45    2    26    0  0.0025412071
 36     12     -7     2     -6     -25     38    1    27    0  0.0025416507
 37     15     +3     0      3     -26     43    2    27    0  0.0025397152
 38     14     -1     0     -1     -28     44    2    27    0  0.0025380166
 39     14     +0     2      0     -28     44    2    28    0  0.0025368367
 40     11     -3     2     -3     -30     41    0    29    0  0.0025351210
 41     10     -1     2     -2     -30     42    2    30    0  0.0025362583
 42      9     -1     2      0     -32     41    0    31    0  0.0025350132
 43      8     -1     0     -1     -31     40    1    31    0  0.0025343499
 44      8     +0     3     -1     -33     41    0    32    0  0.0025327199
 45      8     +0     0      0     -32     40    0    32    0  0.0025316585
 46      8     +0     2      0     -33     41    0    33    0  0.0025322112
 47      9     +1     1      1     -35     44    0    34    0  0.0025315526
 48      6     -3     0     -3     -39     45    0    34    0  0.0025300261
 49     10     +4     0      4     -40     50    0    34    0  0.0025291508
 50      9     -1     1      1     -41     50    0    35    0  0.0025288556
 51     11     +2     3      1     -35     47    1    36    0  0.0025299976
 52     13     +2     5      1     -38     51    0    37    0  0.0025292111
 53     12     -1     1      0     -34     46    0    38    0  0.0025280680
 54     12     +0     2     -1     -36     48    0    39    0  0.0025279605
 55     12     +0     2      0     -35     47    0    40    0  0.0025270237
 56     11     -1     2     -2     -34     46    1    41    0  0.0025288699
 57     13     +2     3      1     -32     45    0    42    0  0.0025271365
 58      9     -4     3     -4     -37     46    0    43    0  0.0025273345
 59     13     +4     2      2     -35     48    0    44    0  0.0025261953
