iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
39,0.00252958619205,75415,75415,0.680002524706,0.00186919650203,0.0483362901927,7.14445718763e-12,5.99765462334e-12,3051,1,0,32971.832458,12.654417038,18197,0,0,0.312979411361,0.999825012096,0,0.1,0,0,24121.8849615,1,1,0,110220.493783,0.3,33.1551085408
40,0.00252913686082,75415,75415,0.680002524706,-0.000142115466095,0.0483362901927,6.48675849775e-12,5.98413494232e-12,3055,1,0,36579.3269997,13.8979172707,18516,0,0,0.296509082616,0.999775283855,0,0.1,0,0,24116.7630034,1,1,0,105857.717658,0.3,55.0206895834
41,0.00253029634163,75414,75414,0.679993507899,-0.00454951183987,0.0483362901927,8.55102879935e-12,6.13305825925e-12,2937,1,0,31914.412291,13.4672088623,17264,0,0,0.293948944905,0.999775283855,0,0.1,0,0,23836.2602043,1,1,0,123124.446575,0.3,32.2249573329
42,0.00252929334489,75414,75414,0.679993507899,0.000364343658215,0.0483362901927,6.19475526148e-12,6.04140124431e-12,3005,1,0,34331.6282496,13.1870832443,17720,0,0,0.294468036893,0.999775283855,0,0.1,0,0,24023.6628163,1,1,0,118560.14051,0.3,34.6122568343
43,0.00252870928388,75415,75415,0.680002524706,0.00149651327458,0.0483362901927,5.5216174999e-12,5.93114054131e-12,3049,1,0,34395.2068748,14.6733341217,18068,0,0,0.295900142691,0.999775283855,0,0.1,0,0,24222.5667546,1,1,0,114162.628086,0.3,34.6841374584
44,0.0025286031944,75414,75414,0.679993507899,0.000475949914139,0.0483362901927,6.27771604688e-12,5.96522312126e-12,3052,1,0,36417.6183753,13.7136249542,18391,0,0,0.296849734037,0.999775283855,0,0.1,0,0,24239.6247691,1,1,0,109735.878515,0.3,36.7164330408
45,0.00252820232011,75414,75414,0.679993507899,0.000678477930935,0.0483362901927,5.9358381631e-12,5.92369836445e-12,3086,1,0,33806.0890827,15.1520419121,18674,0,0,0.265367478489,0.999140280322,0,0.1,0,0,24300.5203614,1,1,0,105525.774883,0.3,52.1967103328
46,0.00252947360065,75415,75415,0.680002524706,-0.0059663099877,0.0483362901927,1.03112138846e-11,6.10964835732e-12,2946,1,0,34472.3955412,13.3647499084,17434,0,0,0.246602554866,0.998241356263,0,0.1,0,0,23912.7983842,1,1,0,122650.151558,0.3,34.7850254998
47,0.00252824798159,75415,75415,0.680002524706,0.000868010317293,0.0483362901927,6.88897231701e-12,5.94637027344e-12,3041,1,0,33301.7212501,13.8083748817,17949,0,0,0.249056510398,0.998241356263,0,0.1,0,0,24223.749488,1,1,0,118283.252301,0.3,33.5896067503
48,0.00252682021699,75414,75414,0.679993507899,-0.00124790547967,0.0483362901927,5.9147973429e-12,5.8685442254e-12,3029,1,0,35736.084125,14.1414165497,18192,0,0,0.247542957169,0.998241356263,0,0.1,0,0,24285.2948647,1,1,0,113759.001135,0.3,36.0609362922
