frame,azimuth_deg,id,anchor_x,anchor_y,center_x,center_y,leader,hidden
73,94.28,c0,591.94,409.80,594.56,410.10,0,0
73,94.28,c1,657.35,324.45,655.35,324.16,0,0
73,94.28,c2,544.15,507.42,544.79,508.41,0,0
73,94.28,c3,707.54,447.56,706.32,446.61,0,0
74,94.95,c0,590.55,409.62,593.16,409.94,0,0
74,94.95,c1,658.41,324.62,656.42,324.32,0,0
74,94.95,c2,543.84,506.89,544.46,507.88,0,0
74,94.95,c3,708.17,448.09,706.97,447.12,0,0
75,95.62,c0,589.16,409.43,591.76,409.76,0,0
75,95.62,c1,659.47,324.80,657.49,324.49,0,0
75,95.62,c2,543.54,506.35,544.13,507.34,0,0
75,95.62,c3,708.79,448.62,707.61,447.65,0,0
76,96.30,c0,587.78,409.23,590.36,409.57,0,0
76,96.30,c1,660.53,324.98,658.55,324.66,0,0
76,96.30,c2,543.25,505.81,543.82,506.80,0,0
76,96.30,c3,709.40,449.15,708.23,448.17,0,0
77,96.98,c0,586.40,409.02,588.98,409.38,0,0
77,96.98,c1,661.58,325.17,659.61,324.84,0,0
77,96.98,c2,542.97,505.26,543.53,506.27,0,0
77,96.98,c3,710.00,449.69,708.85,448.71,0,0
78,97.65,c0,585.03,408.80,587.60,409.18,0,0
78,97.65,c1,662.63,325.37,660.67,325.02,0,0
78,97.65,c2,542.71,504.72,543.24,505.72,0,0
78,97.65,c3,710.58,450.23,709.46,449.24,0,0
79,98.33,c0,583.67,408.58,586.22,408.97,0,0
79,98.33,c1,663.68,325.57,661.72,325.21,0,0
79,98.33,c2,542.45,504.18,542.96,505.18,0,0
79,98.33,c3,711.16,450.78,710.05,449.78,0,0
80,99.00,c0,582.32,408.34,584.86,408.75,0,0
80,99.00,c1,664.72,325.77,662.77,325.41,0,0
80,99.00,c2,542.21,503.63,542.70,504.64,0,0
80,99.00,c3,711.72,451.33,710.64,450.32,0,0
81,99.67,c0,580.97,408.10,583.49,408.52,0,0
81,99.67,c1,665.76,325.98,663.82,325.61,0,0
81,99.67,c2,541.98,503.08,542.45,504.09,0,0
81,99.67,c3,712.28,451.89,711.21,450.87,0,0
82,100.35,c0,579.63,407.86,582.14,408.29,0,0
82,100.35,c1,666.79,326.20,664.86,325.81,0,0
82,100.35,c2,541.77,502.53,542.21,503.55,0,0
82,100.35,c3,712.82,452.45,711.78,451.42,0,0
83,101.02,c0,578.30,407.60,580.80,408.05,0,0
83,101.02,c1,667.82,326.42,665.89,326.02,0,0
83,101.02,c2,541.56,501.98,541.98,503.00,0,0
83,101.02,c3,713.36,453.01,712.33,451.98,0,0
84,101.70,c0,576.97,407.34,579.46,407.80,0,0
84,101.70,c1,668.84,326.64,666.92,326.24,0,0
84,101.70,c2,541.37,501.43,541.77,502.45,0,0
84,101.70,c3,713.88,453.58,712.87,452.54,0,0
85,102.37,c0,575.65,407.07,578.13,407.54,0,0
85,102.37,c1,669.86,326.87,667.95,326.46,0,0
85,102.37,c2,541.19,500.88,541.56,501.90,0,0
85,102.37,c3,714.39,454.15,713.40,453.10,0,0
86,103.05,c0,574.35,406.79,576.80,407.28,0,0
86,103.05,c1,670.87,327.11,668.97,326.69,0,0
86,103.05,c2,541.02,500.33,541.37,501.35,0,0
86,103.05,c3,714.89,454.72,713.92,453.67,0,0
87,103.73,c0,573.05,406.51,575.49,407.01,0,0
87,103.73,c1,671.88,327.35,669.99,326.92,0,0
87,103.73,c2,540.86,499.78,541.19,500.80,0,0
87,103.73,c3,715.38,455.30,714.43,454.24,0,0
88,104.40,c0,571.76,406.21,574.18,406.73,0,0
88,104.40,c1,672.88,327.59,671.00,327.16,0,0
88,104.40,c2,540.71,499.23,541.02,500.25,0,0
88,104.40,c3,715.85,455.88,714.93,454.82,0,0
89,105.08,c0,570.48,405.91,572.89,406.44,0,0
89,105.08,c1,673.88,327.85,672.01,327.40,0,0
89,105.08,c2,540.58,498.67,540.87,499.70,0,0
89,105.08,c3,716.32,456.47,715.41,455.40,0,0
90,105.75,c0,569.21,405.61,571.60,406.15,0,0
90,105.75,c1,674.87,328.10,673.01,327.64,0,0
90,105.75,c2,540.45,498.12,540.72,499.14,0,0
90,105.75,c3,716.77,457.06,715.89,455.98,0,0
91,106.43,c0,567.94,405.29,570.32,405.85,0,0
91,106.43,c1,675.85,328.36,674.00,327.90,0,0
91,106.43,c2,540.34,497.56,540.59,498.59,0,0
91,106.43,c3,717.21,457.65,716.35,456.56,0,0
92,107.10,c0,566.69,404.97,569.05,405.54,0,0
92,107.10,c1,676.83,328.63,674.99,328.15,0,0
92,107.10,c2,540.24,497.01,540.47,498.04,0,0
92,107.10,c3,717.64,458.25,716.80,457.15,0,0
93,107.78,c0,565.45,404.64,567.79,405.23,0,0
93,107.78,c1,677.81,328.90,675.98,328.41,0,0
93,107.78,c2,540.16,496.45,540.36,497.48,0,0
93,107.78,c3,718.05,458.84,717.24,457.74,0,0
94,108.45,c0,564.22,404.31,566.54,404.91,0,0
94,108.45,c1,678.77,329.18,676.96,328.68,0,0
94,108.45,c2,540.08,495.90,540.26,496.93,0,0
94,108.45,c3,718.46,459.45,717.67,458.34,0,0
95,109.13,c0,562.99,403.96,565.30,404.58,0,0
95,109.13,c1,679.74,329.46,677.93,328.95,0,0
95,109.13,c2,540.02,495.35,540.18,496.37,0,0
95,109.13,c3,718.85,460.05,718.08,458.94,0,0
96,109.80,c0,561.78,403.62,564.07,404.24,0,0
