frame,azimuth_deg,id,anchor_x,anchor_y,center_x,center_y,leader,hidden
114,121.95,c1,696.69,335.72,696.69,335.72,0,0
114,121.95,c2,541.00,484.91,541.00,484.91,0,0
114,121.95,c3,723.89,472.04,723.89,472.04,0,0
115,122.63,c0,541.02,395.80,541.02,395.80,0,0
115,122.63,c1,697.50,336.09,697.50,336.09,0,0
115,122.63,c2,541.17,484.37,541.17,484.37,0,0
115,122.63,c3,724.02,472.69,724.02,472.69,0,0
116,123.30,c0,540.05,395.33,540.05,395.33,0,0
116,123.30,c1,698.31,336.47,698.31,336.47,0,0
116,123.30,c2,541.34,483.83,541.34,483.83,0,0
116,123.30,c3,724.14,473.34,724.14,473.34,0,0
117,123.98,c0,539.11,394.86,539.11,394.86,0,0
117,123.98,c1,699.11,336.86,699.11,336.86,0,0
117,123.98,c2,541.53,483.30,541.53,483.30,0,0
117,123.98,c3,724.25,474.00,724.25,474.00,0,0
118,124.65,c0,538.17,394.38,538.17,394.38,0,0
118,124.65,c1,699.90,337.25,699.90,337.25,0,0
118,124.65,c2,541.73,482.76,541.73,482.76,0,0
118,124.65,c3,724.34,474.65,724.34,474.65,0,0
119,125.32,c0,537.25,393.90,537.25,393.90,0,0
