cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf
1e-08,0,148,2.2145437,0.046099,0.0147555,0.000122899,0,0,4056,153,1,1,3,153,0.5932,4,0,0,0.10522
1e-08,0,149,2.2144024,0.0419051,0.0134131,0.000121472,0,0,4056,153,1,1,3,153,0.5932,4,0,0,0.10520
1e-08,0,150,2.2142909,0.0365239,0.0115772,0.000118311,0,0,4056,151,1,1,3,151,0.5932,4,0,0,0.10518
1e-08,0,151,2.2142042,0.0394861,0.0124442,0.000112601,0.000493097,2,4056,153,1,1,3,153,0.5932,4,0,0,0.10516
1e-08,0,152,2.2141317,0.0448118,0.0140492,0.000120606,0,0,4056,153,1,1,3,153,0.5932,4,1,0,0.10515
1e-08,0,153,1.9418207,0.0972188,0.0498756,0.00213536,0.000986193,4,4056,168,1,1,3,168,0.5754,8,0,0,0.10463
1e-08,0,154,1.949014,0.0681668,0.0343663,0.0014325,0.000493097,2,4056,162,1,1,3,162,0.5754,8,0,0,0.10572
1e-08,0,155,1.9436279,0.0673043,0.0287866,0.00105077,0,0,4056,162,1,1,3,162,0.5754,8,0,0,0.10646
1e-08,0,156,1.9409206,0.0825342,0.0252373,0.000866772,0,0,4056,168,1,1,3,168,0.5754,8,0,0,0.10704
1e-08,0,157,1.938533,0.128127,0.0340955,0.000871731,0,0,4056,184,1,1,3,184,0.5754,8,0,0,0.10757
1e-08,0,158,1.9361827,0.1998,0.0521461,0.000752608,0,0,4056,191,1,1,3,191,0.5740,8,0,0,0.10798
1e-08,0,159,1.9342671,0.180369,0.0413126,0.000573406,0,0,4056,202,1,1,3,202,0.5740,8,0,0,0.10826
1e-08,0,160,1.9331939,0.116939,0.0262317,0.000444472,0.000493097,2,4056,213,1,1,3,213,0.5725,8,0,0,0.10845
1e-08,0,161,1.9324982,0.104329,0.0260811,0.000436101,0,0,4056,210,1,1,3,210,0.5725,8,0,0,0.10863
1e-08,0,162,1.9318723,0.169095,0.0501378,0.000496603,0,0,4056,213,1,1,3,213,0.5725,8,0,0,0.10884
1e-08,0,163,1.9309238,0.1998,0.0558364,0.000497231,0,0,4056,210,1,1,3,210,0.5725,8,0,0,0.10900
1e-08,0,164,1.9300968,0.1998,0.111481,0.000946098,0,0,4056,217,1,1,3,217,0.5725,8,0,0,0.10908
1e-08,0,165,1.9309659,0.1998,0.118041,0.00178331,0,0,4056,240,1,1,3,240,0.5725,8,0,0,0.10890
1e-08,0,166,1.9307272,0.1998,0.118041,0.00211567,0,0,4056,212,1,1,3,212,0.5725,8,0,0,0.10918
1e-08,0,167,1.9309975,0.1998,0.116614,0.00220424,0,0,4056,226,1,1,3,226,0.5725,8,0,0,0.10885
1e-08,0,168,1.9321524,0.1998,0.083682,0.00157182,0,0,4056,228,1,1,3,228,0.5725,8,0,0,0.10895
1e-08,0,169,1.9311354,0.15338,0.0635645,0.000728124,0,0,4056,222,1,1,3,222,0.5725,8,0,0,0.10895
1e-08,0,170,1.9305764,0.0655682,0.0215126,0.00020186,0,0,4056,231,1,1,3,231,0.5725,8,0,0,0.10899
1e-08,0,171,1.930095,0.0132493,0.00423621,4.45571e-05,0,0,4056,221,1,1,3,221,0.5725,8,0,0,0.10901
1e-08,0,172,1.9300343,0.00832375,0.001985,2.03539e-05,0,0,4056,247,1,1,3,247,0.5725,8,1,0,0.10901
1e-08,0,173,1.8603958,0.0999,0.0724888,0.00262343,0.000493097,2,4056,217,1,1,3,217,0.5163,16,0,0,0.10687
1e-08,0,174,1.8698722,0.0792582,0.0454097,0.00169169,0,0,4056,209,1,1,3,209,0.5163,16,0,0,0.10825
1e-08,0,175,1.8672459,0.0708539,0.0333775,0.0019907,0,0,4056,211,1,1,3,211,0.5266,16,0,0,0.10991
1e-08,0,176,1.8655561,0.0999,0.0382956,0.00132212,0,0,4056,212,1,1,3,212,0.5385,16,0,0,0.11063
1e-08,0,177,1.8645184,0.0999,0.0551756,0.0010617,0,0,4056,215,1,1,3,215,0.5385,16,0,0,0.11064
1e-08,0,178,1.8644421,0.0999,0.0612366,0.00167169,0,0,4056,219,1,1,3,219,0.5385,16,0,0,0.11117
1e-08,0,179,1.8643485,0.0999,0.0716705,0.00196765,0,0,4056,209,1,1,3,209,0.5385,16,0,0,0.11043
1e-08,0,180,1.864515,0.0999,0.0618944,0.0019514,0,0,4056,227,1,1,3,227,0.5281,16,0,0,0.11138
1e-08,0,181,1.8639895,0.06779,0.0412265,0.00114137,0,0,4056,210,1,1,3,210,0.5385,16,0,0,0.11080
1e-08,0,182,1.8641175,0.0999,0.0330771,0.000515999,0,0,4056,217,1,1,3,217,0.5385,16,0,0,0.11113
1e-08,0,183,1.8638298,0.0262723,0.00744332,9.62145e-05,0,0,4056,219,1,1,3,219,0.5385,16,1,0,0.11110
1e-08,0,184,1.8576658,0.04995,0.0493048,0.00672227,0.000493097,2,4056,257,1,1,3,257,0.5015,32,0,0,0.10430
1e-08,0,185,1.8645299,0.04995,0.04995,0.00635082,0.000493097,2,4056,240,1,1,3,240,0.5015,32,0,0,0.11057
1e-08,0,186,1.8620479,0.04995,0.0477493,0.00373445,0,0,4056,260,1,1,3,260,0.5015,32,0,0,0.10852
1e-08,0,187,1.8607333,0.04995,0.0472712,0.00351412,0,0,4056,241,1,1,3,241,0.5015,32,0,0,0.11194
1e-08,0,188,1.8604941,0.04995,0.047005,0.00254834,0,0,4056,247,1,1,3,247,0.5015,32,0,0,0.11002
1e-08,0,189,1.8604289,0.04995,0.0310856,0.00152905,0,0,4056,242,1,1,3,242,0.5015,32,0,0,0.11135
1e-08,0,190,1.8604307,0.0407216,0.0185349,0.000606794,0,0,4056,245,1,1,3,245,0.5015,32,0,0,0.11132
