tag,fixture,rung,contrast,core,sub,ndof,solved,nmodes,ncomp,solid_frac,lam6,lam7
G1,cantilever,0.52,1e+09,8,58,3630,1,6,1,0.751,1.1929e-02,1.6490e-02
G1,cantilever,0.52,1e+09,8,59,3300,1,6,1,0.126,1.0139e-02,1.2145e-02
G1,cantilever,0.52,1e+09,8,60,3267,1,6,0,0.000,2.7539e-03,3.2744e-03
G1,cantilever,0.52,1e+09,8,61,3993,1,6,1,0.190,7.9921e-03,1.2048e-02
G1,cantilever,0.52,1e+09,8,62,3993,1,6,1,0.766,9.7586e-03,1.4925e-02
G1,cantilever,0.52,1e+09,8,63,3993,1,6,1,1.000,1.5475e-02,1.5930e-02
G1,cantilever,0.52,1e+09,8,64,3993,1,6,1,0.704,9.5850e-03,1.5780e-02
G1,cantilever,0.52,1e+09,8,65,3630,1,6,1,0.096,8.5231e-03,8.5271e-03
G1,cantilever,0.52,1e+09,8,66,2970,1,6,0,0.000,5.1256e-03,5.8268e-03
G1,cantilever,0.52,1e+09,8,67,3630,1,6,1,0.171,1.0042e-02,1.0439e-02
G1,cantilever,0.52,1e+09,8,68,3630,1,6,1,0.700,1.0279e-02,1.4714e-02
G1,cantilever,0.52,1e+09,8,69,3630,1,6,1,0.993,1.5345e-02,1.9205e-02
G1,cantilever,0.52,1e+09,8,70,3630,1,6,1,0.751,1.1929e-02,1.6490e-02
G1,cantilever,0.52,1e+09,8,71,3300,1,6,1,0.126,1.0139e-02,1.2145e-02
G1,cantilever,0.52,1e+09,8,72,2970,1,1,1,0.510,2.5101e-02,3.1778e-02
G1,cantilever,0.52,1e+09,8,73,3630,1,6,1,0.890,1.4908e-02,1.7987e-02
G1,cantilever,0.52,1e+09,8,74,3630,1,6,1,0.929,1.5854e-02,1.7909e-02
G1,cantilever,0.52,1e+09,8,75,3630,1,6,1,0.532,9.6254e-03,1.5265e-02
G1,cantilever,0.52,1e+09,8,76,3630,1,6,1,0.094,6.6859e-03,7.6769e-03
G1,cantilever,0.52,1e+09,8,77,3300,1,6,0,0.000,9.0817e-03,9.8981e-03
G1,cantilever,0.52,1e+09,8,78,3267,1,0,1,0.538,2.4106e-02,2.5651e-02
G1,cantilever,0.52,1e+09,8,79,3993,1,6,1,0.900,1.3000e-02,1.8588e-02
G1,cantilever,0.52,1e+09,8,80,3993,1,6,1,0.918,1.3320e-02,1.8494e-02
G1,cantilever,0.52,1e+09,8,81,3993,1,6,1,0.488,7.3793e-03,1.3551e-02
G1,cantilever,0.52,1e+09,8,82,3993,1,6,1,0.064,5.2650e-03,5.9379e-03
G1,cantilever,0.52,1e+09,8,83,3630,1,6,0,0.000,1.4155e-02,1.8525e-02
G1,cantilever,0.52,1e+09,8,84,2970,1,1,1,0.510,2.5101e-02,3.1778e-02
G1,cantilever,0.52,1e+09,8,85,3630,1,6,1,0.890,1.4908e-02,1.7987e-02
G1,cantilever,0.52,1e+09,8,86,3630,1,6,1,0.929,1.5854e-02,1.7909e-02
G1,cantilever,0.52,1e+09,8,87,3630,1,6,1,0.532,9.6254e-03,1.5265e-02
G1,cantilever,0.52,1e+09,8,88,3630,1,6,1,0.094,6.6859e-03,7.6769e-03
G1,cantilever,0.52,1e+09,8,89,3300,1,6,0,0.000,9.0817e-03,9.8981e-03
G1,cantilever,0.52,1e+09,8,90,2700,1,0,1,1.000,2.9428e-02,3.9679e-02
G1,cantilever,0.52,1e+09,8,91,3300,1,6,1,0.767,1.1319e-02,1.6927e-02
G1,cantilever,0.52,1e+09,8,92,3300,1,6,1,0.238,8.5800e-03,1.4984e-02
G1,cantilever,0.52,1e+09,8,93,3300,1,6,0,0.000,1.4247e-03,2.5773e-03
G1,cantilever,0.52,1e+09,8,94,3300,1,6,0,0.000,1.5198e-02,1.9802e-02
G1,cantilever,0.52,1e+09,8,95,3000,1,6,0,0.000,1.8621e-02,1.8621e-02
G1,cantilever,0.52,1e+09,8,96,2970,1,0,1,1.000,2.6972e-02,3.5129e-02
G1,cantilever,0.52,1e+09,8,97,3630,1,6,1,0.767,9.6032e-03,1.6310e-02
G1,cantilever,0.52,1e+09,8,98,3630,1,6,1,0.222,7.1292e-03,1.1578e-02
G1,cantilever,0.52,1e+09,8,99,3630,1,6,0,0.000,8.5543e-04,2.3472e-03
G1,cantilever,0.52,1e+09,8,100,3630,1,6,0,0.000,1.4155e-02,1.8525e-02
G1,cantilever,0.52,1e+09,8,101,3300,1,6,0,0.000,1.5198e-02,1.9802e-02
G1,cantilever,0.52,1e+09,8,102,2700,1,0,1,1.000,2.9428e-02,3.9679e-02
G1,cantilever,0.52,1e+09,8,103,3300,1,6,1,0.767,1.1319e-02,1.6927e-02
G1,cantilever,0.52,1e+09,8,104,3300,1,6,1,0.238,8.5800e-03,1.4984e-02
G1,cantilever,0.52,1e+09,8,105,3300,1,6,0,0.000,1.4247e-03,2.5773e-03
G1,cantilever,0.52,1e+09,8,106,3300,1,6,0,0.000,1.5198e-02,1.9802e-02
G1,cantilever,0.52,1e+09,8,107,3000,1,6,0,0.000,1.8621e-02,1.8621e-02
G1,cantilever,0.38,1e+09,8,0,2700,1,0,1,0.652,2.4763e-02,2.8658e-02
G1,cantilever,0.38,1e+09,8,1,3300,1,6,1,0.743,6.6360e-03,7.2210e-03
G1,cantilever,0.38,1e+09,8,2,3300,1,8,2,0.460,2.3791e-04,4.0575e-04
G1,cantilever,0.38,1e+09,8,3,3300,1,11,1,0.407,3.4013e-05,4.2369e-05
G1,cantilever,0.38,1e+09,8,4,3300,1,8,2,0.427,1.5042e-04,5.9886e-04
G1,cantilever,0.38,1e+09,8,5,3000,1,6,1,0.890,9.9955e-03,1.4137e-02
G1,cantilever,0.38,1e+09,8,6,2970,1,0,1,0.785,2.2619e-02,2.8739e-02
G1,cantilever,0.38,1e+09,8,7,3630,1,6,1,0.960,1.0920e-02,1.6214e-02
G1,cantilever,0.38,1e+09,8,8,3630,1,7,2,0.560,4.3002e-04,8.0048e-04
G1,cantilever,0.38,1e+09,8,9,3630,1,12,1,0.444,6.1258e-06,6.4073e-06
G1,cantilever,0.38,1e+09,8,10,3630,1,7,2,0.478,3.2495e-04,9.9639e-04
G1,cantilever,0.38,1e+09,8,11,3300,1,6,1,0.914,1.0094e-02,1.8174e-02
G1,cantilever,0.38,1e+09,8,12,2700,1,0,1,0.652,2.4763e-02,2.8658e-02
G1,cantilever,0.38,1e+09,8,13,3300,1,6,1,0.743,6.6360e-03,7.2210e-03
G1,cantilever,0.38,1e+09,8,14,3300,1,8,2,0.460,2.3791e-04,4.0575e-04
G1,cantilever,0.38,1e+09,8,15,3300,1,11,1,0.407,3.4013e-05,4.2369e-05
G1,cantilever,0.38,1e+09,8,16,3300,1,8,2,0.427,1.5042e-04,5.9886e-04
G1,cantilever,0.38,1e+09,8,17,3000,1,6,1,0.890,9.9955e-03,1.4137e-02
G1,cantilever,0.38,1e+09,8,18,2970,1,6,1,0.033,1.0869e-02,2.3141e-02
G1,cantilever,0.38,1e+09,8,19,3630,1,6,1,0.254,1.4839e-02,1.6889e-02
G1,cantilever,0.38,1e+09,8,20,3630,1,6,1,0.348,9.8828e-03,1.3983e-02
G1,cantilever,0.38,1e+09,8,21,3630,1,6,1,0.178,1.0415e-02,1.2933e-02
G1,cantilever,0.38,1e+09,8,22,3630,1,6,1,0.392,2.3701e-03,5.9216e-03
G1,cantilever,0.38,1e+09,8,23,3300,1,6,1,0.840,1.2231e-02,1.9243e-02
G1,cantilever,0.38,1e+09,8,24,3267,1,6,1,0.078,8.5582e-03,8.5721e-03
G1,cantilever,0.38,1e+09,8,25,3993,1,6,1,0.498,8.1725e-03,1.3913e-02
G1,cantilever,0.38,1e+09,8,26,3993,1,6,1,0.758,9.7344e-03,1.6279e-02
G1,cantilever,0.38,1e+09,8,27,3993,1,6,1,0.416,6.6201e-03,1.1525e-02
G1,cantilever,0.38,1e+09,8,28,3993,1,6,1,0.446,2.5689e-03,2.7899e-03
G1,cantilever,0.38,1e+09,8,29,3630,1,6,1,0.822,1.0159e-02,1.7708e-02
G1,cantilever,0.38,1e+09,8,30,2970,1,6,1,0.033,1.0869e-02,2.3141e-02
G1,cantilever,0.38,1e+09,8,31,3630,1,6,1,0.254,1.4839e-02,1.6889e-02
G1,cantilever,0.38,1e+09,8,32,3630,1,6,1,0.348,9.8828e-03,1.3983e-02
G1,cantilever,0.38,1e+09,8,33,3630,1,6,1,0.178,1.0415e-02,1.2933e-02
G1,cantilever,0.38,1e+09,8,34,3630,1,6,1,0.392,2.3701e-03,5.9216e-03
G1,cantilever,0.38,1e+09,8,35,3300,1,6,1,0.840,1.2231e-02,1.9243e-02
G1,cantilever,0.38,1e+09,8,36,2970,1,0,0,0.000,2.5913e-02,3.4500e-02
G1,cantilever,0.38,1e+09,8,37,3630,1,8,0,0.000,3.5571e-04,5.9016e-04
G1,cantilever,0.38,1e+09,8,38,3630,1,10,1,0.084,9.8348e-06,3.5523e-05
G1,cantilever,0.38,1e+09,8,39,3630,1,6,1,0.570,4.9456e-03,9.2439e-03
G1,cantilever,0.38,1e+09,8,40,3630,1,6,1,0.916,1.4849e-02,1.6564e-02
G1,cantilever,0.38,1e+09,8,41,3300,1,6,1,0.375,8.4781e-03,1.5054e-02
G1,cantilever,0.38,1e+09,8,42,3267,1,0,0,0.000,2.3900e-02,3.2074e-02
G1,cantilever,0.38,1e+09,8,43,3993,1,6,0,0.000,9.3023e-04,1.9559e-03
G1,cantilever,0.38,1e+09,8,44,3993,1,9,1,0.212,2.0930e-05,1.9215e-04
G1,cantilever,0.38,1e+09,8,45,3993,1,6,1,0.860,9.3587e-03,1.4831e-02
G1,cantilever,0.38,1e+09,8,46,3993,1,6,1,0.962,1.4091e-02,1.8105e-02
G1,cantilever,0.38,1e+09,8,47,3630,1,6,1,0.327,6.7751e-03,1.2543e-02
G1,cantilever,0.38,1e+09,8,48,2970,1,0,0,0.000,2.5913e-02,3.4500e-02
G1,cantilever,0.38,1e+09,8,49,3630,1,8,0,0.000,3.5571e-04,5.9016e-04
G1,cantilever,0.38,1e+09,8,50,3630,1,10,1,0.084,9.8348e-06,3.5523e-05
G1,cantilever,0.38,1e+09,8,51,3630,1,6,1,0.570,4.9456e-03,9.2439e-03
G1,cantilever,0.38,1e+09,8,52,3630,1,6,1,0.916,1.4849e-02,1.6564e-02
G1,cantilever,0.38,1e+09,8,53,3300,1,6,1,0.375,8.4781e-03,1.5054e-02
G1,cantilever,0.38,1e+09,8,54,2970,1,0,0,0.000,2.5913e-02,3.4500e-02
G1,cantilever,0.38,1e+09,8,55,3630,1,6,1,0.044,4.5556e-03,4.6783e-03
G1,cantilever,0.38,1e+09,8,56,3630,1,6,1,0.463,9.4287e-03,1.4083e-02
G1,cantilever,0.38,1e+09,8,57,3630,1,6,1,0.880,1.4596e-02,1.9207e-02
G1,cantilever,0.38,1e+09,8,58,3630,1,6,1,0.480,1.1308e-02,1.8445e-02
