rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,52,1785564109486,2.82349494e-05,0.701349,0,86,1,1,1,86,0,0,1.000000,433.794,0.001,0.939,0.126,428.825,426.967,1.858,3.691,0.156,0.009,0.049,1.624,101.713,323.405,0.000,0.000,0.000,0.000,1,344,0,0,95.78,120.55,0.00,4746.94,517,0
0,53,1785564109950,2.823382464e-05,0.701346,0,92,1,1,1,92,0,0,1.000000,463.458,0.002,0.812,0.121,458.599,456.809,1.786,3.723,0.161,0.011,0.032,1.691,102.650,352.236,0.000,0.000,0.000,0.000,1,368,0,0,95.78,120.55,0.00,4765.97,517,0
0,54,1785564110397,2.823288935e-05,0.701343,0,91,1,1,1,91,0,0,1.000000,446.913,0.003,0.841,0.121,441.995,440.180,1.815,3.756,0.157,0.010,0.033,1.577,101.607,336.765,0.000,0.000,0.000,0.000,1,364,0,0,95.78,120.55,0.00,4761.89,517,0
0,55,1785564110873,2.823201468e-05,0.701331,0,97,1,1,1,97,0,0,1.000000,476.272,0.002,0.824,0.121,471.361,469.507,1.853,3.767,0.156,0.011,0.033,1.611,101.553,366.107,0.000,0.000,0.000,0.000,1,388,0,0,95.89,120.66,0.00,4760.20,517,0
0,56,1785564111328,2.823119071e-05,0.701329,0,84,1,1,1,84,0,0,1.000000,454.215,0.001,0.818,0.125,449.200,447.418,1.782,3.861,0.166,0.010,0.033,1.516,102.760,342.883,0.000,0.000,0.000,0.000,1,336,0,0,95.89,120.66,0.00,4832.61,517,0
0,57,1785564111776,2.823048091e-05,0.701311,0,85,1,1,1,85,0,0,1.000000,447.884,0.002,0.894,0.135,442.579,440.534,2.044,4.041,0.183,0.009,0.042,1.607,102.298,336.394,0.000,0.000,0.000,0.000,1,340,0,0,95.89,120.66,0.00,4830.38,517,0
0,58,1785564112224,2.822963135e-05,0.701314,0,84,1,1,1,84,0,0,1.000000,447.931,0.003,0.842,0.128,442.957,441.073,1.882,3.802,0.156,0.009,0.037,1.736,104.985,334.105,0.000,0.000,0.000,0.000,1,336,0,0,95.89,120.66,0.00,4635.94,517,0
0,59,1785564112643,2.822868488e-05,0.701310,0,85,1,1,1,85,0,0,1.000000,418.837,0.002,0.816,0.128,413.995,412.207,1.787,3.698,0.156,0.011,0.034,1.637,106.519,303.835,0.000,0.000,0.000,0.000,1,340,0,0,95.89,120.66,0.00,4588.08,517,0
0,60,1785564113066,2.82276625e-05,0.701310,0,85,1,1,1,85,0,0,1.000000,423.607,0.002,0.860,0.122,418.419,416.612,1.806,3.994,0.168,0.011,0.033,1.588,103.304,311.491,0.000,0.000,0.000,0.000,1,340,0,0,95.89,120.66,0.00,4566.12,517,0
1,1,1785564114635,0.0002185158451,0.446702,0,60,1,0,1,60,0,0,1.000000,336.001,0.000,0.475,0.021,331.379,329.571,1.807,3.921,0.163,0.009,0.034,1.623,102.421,225.336,0.000,0.000,0.000,0.000,1,240,0,0,104.00,128.81,0.00,4620.84,521,0
1,2,1785564114962,9.191501373e-05,0.469450,0,53,1,0,1,53,0,0,1.000000,326.409,0.002,0.521,0.020,321.551,319.686,1.864,4.111,0.164,0.009,0.033,1.557,103.493,214.367,0.000,0.000,0.000,0.000,1,212,0,0,104.00,128.81,0.00,4762.58,521,0
1,3,1785564115226,5.068156891e-05,0.484115,0,44,1,0,1,44,0,0,1.000000,264.484,0.002,0.475,0.020,259.670,257.791,1.878,4.115,0.159,0.011,0.034,1.572,101.349,154.589,0.000,0.000,0.000,0.000,1,176,0,0,104.00,128.81,0.00,4767.64,521,0
1,4,1785564115511,4.353583991e-05,0.488547,0,50,1,0,1,50,0,0,1.000000,284.797,0.002,0.471,0.020,280.102,278.209,1.889,4.002,0.156,0.013,0.033,1.579,100.323,176.055,0.000,0.000,0.000,0.000,1,200,0,0,104.00,128.81,0.00,4815.58,521,0
1,5,1785564115820,0.0001344414181,0.491918,0,57,1,0,1,57,0,0,1.000000,308.721,0.002,0.536,0.020,303.918,302.015,1.902,4.017,0.175,0.008,0.048,1.599,101.345,198.814,0.000,0.000,0.000,0.000,1,228,0,0,104.00,128.81,0.00,4821.70,521,0
1,6,1785564116120,3.730056204e-05,0.494877,0,47,1,0,1,47,0,0,1.000000,300.163,0.007,0.465,0.020,295.350,293.321,2.028,4.116,0.163,0.016,0.033,1.652,102.327,189.083,0.000,0.000,0.000,0.000,1,188,0,0,104.00,128.81,0.00,4695.55,521,0
1,7,1785564116461,3.613542745e-05,0.496997,0,48,1,0,1,48,0,0,1.000000,340.705,0.002,0.488,0.020,335.932,334.038,1.890,4.063,0.156,0.012,0.034,1.501,105.048,227.221,0.000,0.000,0.000,0.000,1,192,0,0,104.00,128.81,0.00,4747.17,521,0
1,8,1785564116776,3.952059747e-05,0.499166,0,55,1,0,1,55,0,0,1.000000,315.449,0.007,0.480,0.020,310.731,308.853,1.877,4.017,0.157,0.012,0.033,1.588,101.509,205.510,0.000,0.000,0.000,0.000,1,220,0,0,104.00,128.81,0.00,4747.17,521,0
1,9,1785564117064,3.538295067e-05,0.498263,0,50,1,0,1,50,0,0,1.000000,287.710,0.002,0.467,0.020,282.984,281.130,1.851,4.036,0.159,0.011,0.033,1.671,101.568,177.639,0.000,0.000,0.000,0.000,1,200,0,0,104.00,128.81,0.00,4785.23,521,0
1,10,1785564117356,3.523093344e-05,0.497481,0,50,1,0,1,50,0,0,1.000000,292.030,0.005,0.461,0.020,287.406,285.257,2.148,3.922,0.156,0.008,0.058,1.552,101.216,182.235,0.000,0.000,0.000,0.000,1,200,0,0,104.00,128.81,0.00,4826.30,521,0
