iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,sealed_pockets_manuf,sealed_voxels_manuf,sealed_mm3_manuf,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
41,0.00238847975451,88423,88423,0.79729315444,0.00136595148715,0.0483362901927,1.90686827436e-12,1.63142086787e-12,2402,1,0,17699.1956673,12.412624836,8808,0,0,0.183157621164,0.99480821503,0,0.1,0,0,12638.9056166,0,1.00143124046,0,0,0,37,34,12,15,15,0,0,0,-5,0,0,27,2100,10413.7190709,0,0,0,0,55.3170987917
42,0.00238831295768,88423,88423,0.79729315444,0.0013891877801,0.0483362901927,1.46646886597e-12,1.61635010705e-12,2402,1,0,17565.7599173,12.3823747635,8497,0,0,0.184280295825,0.99480821503,0,0.1,0,0,12612.0630153,0,1.00136630798,0,0,0,39,34,12,17,16,0,0,1,1,0,0,28,2123,10527.7740893,0,0,0,0,60.9005781668
43,0.00238808316626,88423,88423,0.79729315444,-0.00031687790951,0.0483362901927,1.45723914768e-12,1.60340573828e-12,2400,1,0,16682.889709,12.3977909088,8091,0,0,0.187040614549,0.99480821503,0,0.1,0,0,12601.6422413,0,1.00130460425,0,0,0,36,32,12,16,16,0,0,0,-3,0,0,26,2130,10562.4864862,0,0,0,0,50.4362588753
44,0.00238783302553,88424,88424,0.797302171247,-0.00133101260284,0.0483362901927,1.4526230303e-12,1.58897758097e-12,2400,1,0,20299.7089581,12.7469167709,7798,0,0,0.191080366413,0.99480821503,0,0.1,0,0,12582.9054253,0,1.00124737553,0,0,0,35,31,12,16,16,0,0,0,-1,0,0,25,2093,10379.006674,0,0,0,0,54.6637649587
45,0.00238766200041,88423,88423,0.79729315444,-0.000268975403974,0.0483362901927,1.34424163959e-12,1.58268529784e-12,2401,1,0,17929.816083,14.3896250725,7570,0,0,0.184817658027,0.997664246624,0,0.1,0,0,12536.7040489,0,1.00119934219,0,0,0,34,30,12,16,16,0,0,0,-1,0,0,25,2092,10374.0477601,0,0,0,0,68.424502084
46,0.00238808122091,88424,88424,0.797302171247,0.00360713075451,0.0483362901927,1.63553105977e-12,1.62321688059e-12,2403,1,0,24499.8614583,13.1764998436,8681,0,0,0.186514559991,0.997664246624,0,0.1,0,0,12569.7159155,0,1.00140165842,0,0,0,30,27,6,9,16,0,0,0,-4,0,0,20,2079,10309.5818801,0,0,0,0,62.9157117503
47,0.0023879207371,88424,88424,0.797302171247,0.00070802044293,0.0483362901927,1.36267541283e-12,1.60453830524e-12,2402,1,0,18021.7898331,13.0025000572,8311,0,0,0.188850872437,0.997664246624,0,0.1,0,0,12548.2121571,0,1.00133338459,0,0,0,29,27,4,6,16,0,0,0,-1,0,0,19,2166,10741.0073845,0,0,0,0,55.9201855832
48,0.00238778625882,88423,88423,0.79729315444,0.000869468021468,0.0483362901927,1.14169824402e-12,1.59933633191e-12,2403,1,0,18761.8210421,12.9829998016,7983,0,0,0.191728533742,0.997664246624,0,0.1,0,0,12533.3495685,0,1.00127700658,0,0,0,27,24,4,7,16,0,0,0,-2,0,0,18,2101,10418.6779847,0,0,0,0,55.7077083327
49,0.00238762315577,88423,88423,0.79729315444,-0.000101207921079,0.0483362901927,1.11615076112e-12,1.58384612216e-12,2401,1,0,18385.6062918,12.6754159927,7615,0,0,0.195177999575,0.997664246624,0,0.1,0,0,12542.3865292,0,1.00122061181,0,0,0,27,25,3,5,16,0,0,0,0,0,0,18,2170,10760.8430399,0,0,0,0,56.7240897077
50,0.00238753675243,88424,88424,0.797302171247,0.0014505527141,0.0483362901927,1.26546931793e-12,1.5877929115e-12,2402,1,0,20675.5483332,14.1824169159,7417,0,0,0.184912522565,0.995806714531,0,0.1,0,0,12469.8226881,0,1.00117677151,0,0,0,29,23,3,9,17,0,0,2,0,0,0,18,2098,10403.8012432,0,0,0,0,71.7224944998
51,0.00238782144882,88424,88424,0.797302171247,-0.00148662470339,0.0483362901927,1.76825680924e-12,1.61100074136e-12,2409,1,0,18114.9334588,13.6530003548,8604,0,0,0.186737863934,0.995806714531,0,0.1,0,0,12586.8858048,0,1.00138950553,0,0,0,26,23,1,4,18,0,0,1,-4,0,0,17,2183,10825.3089198,0,0,0,0,55.2828502911
52,0.00238784452553,88424,88424,0.797302171247,0.00414946331468,0.0483362901927,1.70714797808e-12,1.60984405485e-12,2406,1,0,17164.5781674,13.3074998856,8268,0,0,0.189147420017,0.995806714531,0,0.1,0,0,12548.8100561,0,1.00133276765,0,0,0,27,20,1,8,18,0,0,0,1,0,0,16,2141,10617.0345384,0,0,0,0,51.9643739169
53,0.00238762103848,88424,88424,0.797302171247,-0.000956687639421,0.0483362901927,1.49357421361e-12,1.59226918727e-12,2403,1,0,16100.8765831,11.703458786,7900,0,0,0.192347647765,0.995806714531,0,0.1,0,0,12563.7088521,0,1.00126621672,0,0,0,28,21,1,8,19,0,0,1,0,0,0,18,2210,10959.1995936,0,0,0,0,48.8449244173
54,0.00238749530141,88423,88423,0.79729315444,0.000493314805916,0.0483362901927,1.18793489457e-12,1.58525302329e-12,2405,1,0,16837.2834997,12.5477919579,7587,0,0,0.195811301788,0.995806714531,0,0.1,0,0,12558.8510642,0,1.00121526227,0,0,0,28,21,1,8,20,0,0,1,-1,0,0,17,2156,10691.4182461,0,0,0,0,49.082159291
55,0.00238721898522,88423,88423,0.79729315444,-0.00307506943511,0.0483362901927,1.10946244405e-12,1.56587483815e-12,2407,1,0,14408.3392081,11.7648749352,7327,0,0,0.184598868533,0.99320560079,0,0.1,0,0,12515.3989636,0,1.00115814761,0,0,0,28,21,1,8,20,0,0,0,0,0,0,17,2222,11018.7065597,0,0,0,0,65.1403985
