fixture,band_k,cadence,iter,active_frac,C_full,C_restricted,dC_rel,dSens_rel,mean_drho,max_drho,outside_band_rel,band_escapes,max_escaping_rho
dilute40_vf026,8,1,31,0.406406,45.61272382,45.61275002,5.968081e-07,2.499232e-04,7.810509e-08,1.098356e-04,3.480271e-06,0,0.001000
dilute40_vf026,8,1,32,0.405833,45.53010667,45.53012914,5.958079e-07,2.506764e-04,7.461030e-08,1.190541e-04,3.474899e-06,0,0.001000
dilute40_vf026,8,1,33,0.405547,45.45780018,45.45781775,5.957536e-07,2.518414e-04,6.976180e-08,8.591509e-05,3.480667e-06,0,0.001000
dilute40_vf026,8,1,34,0.405182,45.39390568,45.39393071,5.968459e-07,2.531303e-04,6.564899e-08,9.138035e-05,3.485627e-06,0,0.001000
dilute40_vf026,8,1,35,0.404792,45.34016478,45.34017817,5.972978e-07,2.539916e-04,6.472237e-08,1.000685e-04,3.488199e-06,0,0.001000
dilute40_vf026,8,1,36,0.404740,45.29207384,45.2920935,5.965397e-07,2.548200e-04,6.482367e-08,1.080475e-04,3.491008e-06,0,0.001000
dilute40_vf026,8,1,37,0.404583,45.24796504,45.24799644,5.960335e-07,2.558902e-04,6.529780e-08,1.166157e-04,3.495138e-06,0,0.001000
dilute40_vf026,8,1,38,0.404271,45.2073602,45.20737737,5.971425e-07,2.574476e-04,6.538557e-08,1.243367e-04,3.503577e-06,0,0.001000
dilute40_vf026,8,1,39,0.404271,45.16990185,45.16991845,5.965830e-07,2.587107e-04,6.562719e-08,1.326673e-04,3.510999e-06,0,0.001000
dilute40_vf026,8,1,40,0.403776,45.1351983,45.13520836,5.973791e-07,2.612614e-04,6.556396e-08,1.414595e-04,3.630888e-06,0,0.001000
dilute40_vf068,4,1,1,1.000000,57738.07321,57738.07321,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000
dilute40_vf068,4,1,2,1.000000,693.8337422,693.8337422,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000
dilute40_vf068,4,1,3,0.903620,142.5447416,142.544775,2.344645e-07,2.601753e-05,3.501601e-08,5.720223e-06,1.969458e-05,0,0.001000
dilute40_vf068,4,1,4,0.608568,42.65027196,42.65036576,6.311030e-07,8.283321e-05,4.268278e-08,2.538204e-06,3.050188e-05,0,0.001000
dilute40_vf068,4,1,5,0.452214,21.78731379,21.78733336,2.698636e-07,1.686676e-04,3.297424e-08,3.555007e-06,1.765274e-05,0,0.001000
dilute40_vf068,4,1,6,0.372917,13.72069956,13.72071456,2.759341e-07,1.661848e-04,3.439920e-08,3.483607e-06,1.844043e-05,0,0.001000
dilute40_vf068,4,1,7,0.328307,9.965638023,9.965648046,1.745129e-07,1.262155e-04,2.854974e-08,3.906754e-06,9.905549e-06,0,0.001000
dilute40_vf068,4,1,8,0.304297,8.201860108,8.201865286,1.426478e-07,7.702306e-05,2.624598e-08,5.108063e-06,5.342831e-06,0,0.001000
dilute40_vf068,4,1,9,0.284375,7.444049103,7.444054155,1.194756e-07,6.352938e-05,2.199850e-08,5.744122e-06,3.639383e-06,0,0.001000
dilute40_vf068,4,1,10,0.274531,7.075635375,7.075638527,1.073422e-07,5.156978e-05,1.865481e-08,5.695495e-06,2.871564e-06,0,0.001000
dilute40_vf068,4,1,11,0.265547,6.871319944,6.87132094,1.001820e-07,4.852072e-05,1.679173e-08,4.728248e-06,2.885812e-06,0,0.001000
dilute40_vf068,4,1,12,0.260964,6.743336077,6.743336672,9.572478e-08,4.598235e-05,1.593032e-08,5.719544e-06,2.687843e-06,0,0.001000
dilute40_vf068,4,1,13,0.258411,6.658130843,6.658133176,9.168079e-08,4.208579e-05,1.490130e-08,5.819105e-06,2.519580e-06,0,0.001000
dilute40_vf068,4,1,14,0.255495,6.600849084,6.600850459,8.993486e-08,3.811212e-05,1.341485e-08,5.010644e-06,2.400685e-06,0,0.001000
dilute40_vf068,4,1,15,0.253099,6.560700867,6.560701656,8.845546e-08,3.686483e-05,1.284239e-08,6.005161e-06,2.653185e-06,0,0.001000
dilute40_vf068,4,1,16,0.248906,6.530724488,6.530725108,8.783295e-08,3.758624e-05,1.298387e-08,6.099798e-06,2.558724e-06,0,0.001000
dilute40_vf068,4,1,17,0.247448,6.506755771,6.506757596,8.671071e-08,3.843925e-05,1.222033e-08,6.571799e-06,2.561582e-06,0,0.001000
dilute40_vf068,4,1,18,0.245078,6.487198171,6.48719798,8.586454e-08,3.958197e-05,1.173929e-08,6.822196e-06,2.919764e-06,0,0.001000
dilute40_vf068,4,1,19,0.244010,6.471279833,6.471281037,8.480625e-08,4.026328e-05,1.107249e-08,6.955893e-06,2.997399e-06,0,0.001000
dilute40_vf068,4,1,20,0.243125,6.458297286,6.458298264,8.436566e-08,4.093275e-05,1.066327e-08,7.378350e-06,2.994116e-06,0,0.001000
dilute40_vf068,4,1,21,0.242526,6.447662567,6.447663166,8.413243e-08,4.145615e-05,1.060921e-08,8.343851e-06,2.997273e-06,0,0.001000
dilute40_vf068,4,1,22,0.241927,6.43881482,6.438815392,8.384630e-08,4.191170e-05,1.058771e-08,9.337436e-06,2.999821e-06,0,0.001000
dilute40_vf068,4,1,23,0.241510,6.431074701,6.431075154,8.352014e-08,4.234114e-05,1.035424e-08,1.041922e-05,2.998865e-06,0,0.001000
dilute40_vf068,4,1,24,0.241042,6.423872489,6.423872997,8.328584e-08,4.282624e-05,1.035422e-08,1.148122e-05,2.999414e-06,0,0.001000
dilute40_vf068,4,1,25,0.240313,6.41732297,6.41732348,8.362112e-08,4.345497e-05,1.043646e-08,1.258550e-05,3.011382e-06,0,0.001000
dilute40_vf068,4,1,26,0.239661,6.411069039,6.411069518,8.392914e-08,4.421667e-05,9.452511e-09,8.081255e-06,3.028938e-06,0,0.001000
dilute40_vf068,4,1,27,0.239219,6.405322035,6.405322421,8.391703e-08,4.462066e-05,9.320370e-09,8.688142e-06,3.045657e-06,0,0.001000
dilute40_vf068,4,1,28,0.238698,6.400556449,6.400556638,8.384075e-08,4.480442e-05,8.826607e-09,8.556599e-06,3.052335e-06,0,0.001000
dilute40_vf068,4,1,29,0.238568,6.396467326,6.396468068,8.364122e-08,4.485828e-05,8.506151e-09,9.251876e-06,3.053776e-06,0,0.001000
dilute40_vf068,4,1,30,0.238307,6.393209559,6.393210377,8.349235e-08,4.495022e-05,8.176798e-09,9.991172e-06,3.058530e-06,0,0.001000
dilute40_vf068,4,1,31,0.238047,6.390354396,6.390354927,8.347362e-08,4.502021e-05,7.974503e-09,8.683900e-06,3.060610e-06,0,0.001000
dilute40_vf068,4,1,32,0.237682,6.387710817,6.387711463,8.343276e-08,4.506157e-05,7.849318e-09,9.428615e-06,3.061184e-06,0,0.001000
dilute40_vf068,4,1,33,0.236901,6.385352953,6.385353456,8.334276e-08,4.517305e-05,7.842484e-09,1.019951e-05,3.058999e-06,0,0.001000
dilute40_vf068,4,1,34,0.236589,6.383175422,6.383175951,8.340872e-08,4.524535e-05,8.025386e-09,1.097747e-05,3.057908e-06,0,0.001000
dilute40_vf068,4,1,35,0.236484,6.381080313,6.381080843,8.321886e-08,4.523943e-05,7.537882e-09,1.053952e-05,3.057273e-06,0,0.001000
dilute40_vf068,4,1,36,0.236250,6.379297505,6.379298032,8.302620e-08,4.515643e-05,7.377277e-09,1.123509e-05,3.053323e-06,0,0.001000
dilute40_vf068,4,1,37,0.235964,6.377806503,6.377807032,8.287745e-08,4.506935e-05,7.275525e-09,1.121169e-05,3.048349e-06,0,0.001000
dilute40_vf068,4,1,38,0.235911,6.376406573,6.37640744,8.278924e-08,4.499539e-05,7.420443e-09,1.265567e-05,3.044890e-06,0,0.001000
dilute40_vf068,4,1,39,0.235911,6.375045817,6.375046216,8.263092e-08,4.496064e-05,7.114164e-09,9.151085e-06,3.042854e-06,0,0.001000
dilute40_vf068,4,1,40,0.235911,6.373778665,6.373779274,8.262653e-08,4.507545e-05,7.441655e-09,9.949136e-06,3.047673e-06,0,0.001000
dilute40_vf026,4,2,1,1.000000,1032925.457,1032925.457,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000
dilute40_vf026,4,2,2,1.000000,19081.70436,19081.70436,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.001000
dilute40_vf026,4,2,3,0.813646,7270.054348,7270.071025,2.294052e-06,2.519886e-05,1.757323e-07,2.116851e-05,2.153138e-05,0,0.001000
dilute40_vf026,4,2,4,0.813646,1515.08286,1515.127832,1.347517e-05,5.713367e-04,2.735486e-07,2.350875e-05,1.099376e-04,0,0.001000
dilute40_vf026,4,2,5,0.410547,641.7999621,641.8276552,3.284187e-06,6.876804e-04,1.701053e-07,1.835751e-05,5.989512e-05,0,0.001000
dilute40_vf026,4,2,6,0.410547,324.9564801,324.9656794,9.371773e-06,1.101192e-03,2.353908e-07,3.208360e-05,1.202087e-04,0,0.001000
dilute40_vf026,4,2,7,0.295156,190.4289924,190.4341883,2.495090e-06,4.584989e-04,1.844992e-07,3.023486e-05,3.152040e-05,0,0.001000
