rung,iter,boundary,threshold,band_k,domain_elems,elem_frac,node_frac
0,21,0,0.0015,0,39672,0.498588,0.557219
0,21,0,0.0015,2,39672,0.790532,0.834997
0,21,0,0.0015,4,39672,0.956796,0.964449
0,21,0,0.0015,8,39672,1.000000,1.000000
0,21,0,0.01,0,39672,0.251412,0.327905
0,21,0,0.01,2,39672,0.545801,0.600462
0,21,0,0.01,4,39672,0.787482,0.830769
0,21,0,0.01,8,39672,0.987699,0.990159
0,21,0,0.05,0,39672,0.001286,0.004943
0,21,0,0.05,2,39672,0.025887,0.039155
0,21,0,0.05,4,39672,0.087543,0.112174
0,21,0,0.05,8,39672,0.372782,0.408524
0,21,0,0.1,0,39672,0.000302,0.001386
0,21,0,0.1,2,39672,0.008066,0.011781
0,21,0,0.1,4,39672,0.026921,0.033472
0,21,0,0.1,8,39672,0.117463,0.129845
0,21,0,0.3,0,39672,0.000302,0.001386
0,21,0,0.3,2,39672,0.008066,0.011781
0,21,0,0.3,4,39672,0.026921,0.033472
0,21,0,0.3,8,39672,0.117463,0.129845
0,21,0,0.5,0,39672,0.000302,0.001386
0,21,0,0.5,2,39672,0.008066,0.011781
0,21,0,0.5,4,39672,0.026921,0.033472
0,21,0,0.5,8,39672,0.117463,0.129845
0,22,0,0.0015,0,39672,0.441999,0.470825
0,22,0,0.0015,2,39672,0.588450,0.602657
0,22,0,0.0015,4,39672,0.683353,0.693717
0,22,0,0.0015,8,39672,0.836207,0.841280
0,22,0,0.01,0,39672,0.113884,0.193694
0,22,0,0.01,2,39672,0.426270,0.470894
0,22,0,0.01,4,39672,0.574687,0.595264
0,22,0,0.01,8,39672,0.733868,0.741465
0,22,0,0.05,0,39672,0.004588,0.016447
0,22,0,0.05,2,39672,0.097928,0.144675
0,22,0,0.05,4,39672,0.305908,0.362185
0,22,0,0.05,8,39672,0.644510,0.664796
0,22,0,0.1,0,39672,0.000504,0.002264
0,22,0,0.1,2,39672,0.013057,0.020189
0,22,0,0.1,4,39672,0.043935,0.057034
0,22,0,0.1,8,39672,0.174203,0.193925
0,22,0,0.3,0,39672,0.000302,0.001386
0,22,0,0.3,2,39672,0.008066,0.011781
0,22,0,0.3,4,39672,0.026921,0.033472
0,22,0,0.3,8,39672,0.117463,0.129845
0,22,0,0.5,0,39672,0.000302,0.001386
0,22,0,0.5,2,39672,0.008066,0.011781
0,22,0,0.5,4,39672,0.026921,0.033472
0,22,0,0.5,8,39672,0.117463,0.129845
0,23,0,0.0015,0,39672,0.542599,0.602379
0,23,0,0.0015,2,39672,0.822268,0.856202
0,23,0,0.0015,4,39672,0.956871,0.963410
0,23,0,0.0015,8,39672,1.000000,1.000000
0,23,0,0.01,0,39672,0.237220,0.305498
0,23,0,0.01,2,39672,0.512200,0.576068
0,23,0,0.01,4,39672,0.759301,0.809679
0,23,0,0.01,8,39672,0.984221,0.988496
0,23,0,0.05,0,39672,0.004109,0.011573
0,23,0,0.05,2,39672,0.040179,0.060684
0,23,0,0.05,4,39672,0.123563,0.158281
0,23,0,0.05,8,39672,0.463576,0.505128
0,23,0,0.1,0,39672,0.000353,0.001663
0,23,0,0.1,2,39672,0.009427,0.014368
0,23,0,0.1,4,39672,0.033222,0.042620
0,23,0,0.1,8,39672,0.151190,0.168653
0,23,0,0.3,0,39672,0.000302,0.001386
0,23,0,0.3,2,39672,0.008066,0.011781
0,23,0,0.3,4,39672,0.026921,0.033472
0,23,0,0.3,8,39672,0.117463,0.129845
0,23,0,0.5,0,39672,0.000302,0.001386
0,23,0,0.5,2,39672,0.008066,0.011781
