# sdf_geometry_probe port, evaluated at the reference's own grid points
x y z port_sdf reference_sdf diff
2 0 -2 -6.68218153 -1e+10 9.99999999e+09
3 0 -2 -6.33176501 -1e+10 9.99999999e+09
4 0 -2 -6.09175814 -1e+10 9.99999999e+09
5 0 -2 -5.96268395 -1e+10 9.99999999e+09
6 0 -2 -5.89428874 -1e+10 9.99999999e+09
7 0 -2 -5.96268395 -1e+10 9.99999999e+09
8 0 -2 -6.09175814 -1e+10 9.99999999e+09
9 0 -2 -6.33176501 -1e+10 9.99999999e+09
10 0 -2 -6.68218153 -1e+10 9.99999999e+09
11 0 -2 -7.09003664 -1e+10 9.99999999e+09
12 0 -2 -7.56945284 -1e+10 9.99999999e+09
13 0 -2 -8.12516358 -1e+10 9.99999999e+09
14 0 -2 -8.73229714 -1e+10 9.99999999e+09
15 0 -2 -9.37910763 -1e+10 9.99999999e+09
-3 1 -2 -8.97238005 -1e+10 9.99999999e+09
-2 1 -2 -8.31000279 -1e+10 9.99999999e+09
-1 1 -2 -7.67783895 -1e+10 9.99999999e+09
0 1 -2 -7.09003664 -1e+10 9.99999999e+09
1 1 -2 -6.57755672 -1e+10 9.99999999e+09
2 1 -2 -6.15084042 -1e+10 9.99999999e+09
3 1 -2 -5.78740532 -1e+10 9.99999999e+09
4 1 -2 -5.52801252 -1e+10 9.99999999e+09
5 1 -2 -5.39441674 -1e+10 9.99999999e+09
6 1 -2 -5.32214553 -1e+10 9.99999999e+09
7 1 -2 -5.39435374 -1e+10 9.99999999e+09
8 1 -2 -5.52801252 -1e+10 9.99999999e+09
9 1 -2 -5.78740532 -1e+10 9.99999999e+09
10 1 -2 -6.15084042 -1e+10 9.99999999e+09
11 1 -2 -6.57755672 -1e+10 9.99999999e+09
12 1 -2 -7.09003664 -1e+10 9.99999999e+09
13 1 -2 -7.67783895 -1e+10 9.99999999e+09
14 1 -2 -8.31000279 -1e+10 9.99999999e+09
15 1 -2 -8.97237976 -1e+10 9.99999999e+09
-3 2 -2 -8.60282287 -1e+10 9.99999999e+09
-2 2 -2 -7.93341573 -1e+10 9.99999999e+09
-1 2 -2 -7.28385578 -1e+10 9.99999999e+09
0 2 -2 -6.68218153 -1e+10 9.99999999e+09
1 2 -2 -6.15084042 -1e+10 9.99999999e+09
2 2 -2 -5.71494204 -1e+10 9.99999999e+09
3 2 -2 -5.33982128 -1e+10 9.99999999e+09
4 2 -2 -5.06075008 -1e+10 9.99999999e+09
5 2 -2 -4.91839649 -1e+10 1e+10
6 2 -2 -4.84192311 -1e+10 1e+10
7 2 -2 -4.91839649 -1e+10 1e+10
8 2 -2 -5.06075008 -1e+10 9.99999999e+09
9 2 -2 -5.33982128 -1e+10 9.99999999e+09
10 2 -2 -5.71494204 -1e+10 9.99999999e+09
11 2 -2 -6.15084042 -1e+10 9.99999999e+09
