iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
45,0.00250987243159,75415,75415,0.680002524706,0.000215727919797,0.0483362901927,2.31388716646e-12,5.25611155957e-12,2564,1,0,26445.3473749,18.2267079353,27304,0,0,0.396492201408,0.999814696341,0,0.1,0,0,20180.4255141,1,1,0,0,0,0,0,44.6476295833
46,0.00251343201832,75415,75415,0.680002524706,-0.00630732713642,0.0483362901927,3.38293833793e-12,5.51544072913e-12,2555,1,0,25466.9857078,16.9497079849,27228,0,0,0.39684040851,0.999814696341,0,0.1,0,0,20084.8237873,1,1,0,0,0,0,0,25.6980015002
47,0.00251296356851,75415,75415,0.680002524706,0.00329561026819,0.0483362901927,2.66743674231e-12,5.39462726851e-12,2553,1,0,25841.169292,13.9450831413,27332,0,0,0.397518068134,0.999814696341,0,0.1,0,0,20289.9523005,1,1,0,0,0,0,0,26.075571042
48,0.00251155840383,75414,75414,0.679993507899,-0.00111085078348,0.0483362901927,2.47934573363e-12,5.31473649077e-12,2565,1,0,26129.243125,13.7463750839,27379,0,0,0.398051349125,0.999814696341,0,0.1,0,0,20343.6150977,1,1,0,0,0,0,0,26.2601420833
49,0.00251049236957,75414,75414,0.679993507899,-0.0015661601103,0.0483362901927,2.28688931628e-12,5.25960987225e-12,2563,1,0,30916.7062922,13.2764167786,27382,0,0,0.398746519993,0.999814696341,0,0.1,0,0,20356.7846642,1,1,0,0,0,0,0,31.0414332082
50,0.00250995275623,75415,75415,0.680002524706,-0.000354045550104,0.0483362901927,2.24997108775e-12,5.27635519358e-12,2562,1,0,24732.5888329,12.8537092209,27369,0,0,0.396492470933,0.999835542969,0,0.1,0,0,20304.0419602,1,1,0,0,0,0,0,42.7096329164
51,0.00251325862222,75415,75415,0.680002524706,-0.00611831420873,0.0483362901927,5.492106919e-12,5.44476422185e-12,2554,1,0,25166.6633329,13.3913750648,27421,0,0,0.396822697106,0.999835542969,0,0.1,0,0,20329.5233481,1,1,0,0,0,0,0,25.3380426667
52,0.00251246573131,75415,75415,0.680002524706,0.00186569375001,0.0483362901927,3.7153377509e-12,5.37281048987e-12,2559,1,0,24741.7414999,12.4293751717,27451,0,0,0.397424903194,0.999835542969,0,0.1,0,0,20429.4684615,1,1,0,0,0,0,0,24.8743119999
53,0.00251203581133,75415,75415,0.680002524706,0.000549860157876,0.0483362901927,2.52910164272e-12,5.32739582901e-12,2561,1,0,25229.3187094,14.5369577408,27532,0,0,0.398117132542,0.999835542969,0,0.1,0,0,20490.434657,1,1,0,0,0,0,0,25.3869692502
54,0.00251052895863,75414,75414,0.679993507899,-0.00202092668705,0.0483362901927,1.77024040457e-12,5.27161950794e-12,2559,1,0,30806.8986249,14.0295829773,27483,0,0,0.398755518555,0.999835542969,0,0.1,0,0,20500.1495484,1,1,0,0,0,0,0,31.0065576253
55,0.00251091990674,75414,75414,0.679993507899,0.00128839967618,0.0483362901927,1.99997447293e-12,5.28505420439e-12,2559,1,0,26364.131166,15.1066250801,27527,0,0,0.394469232438,0.999779501713,0,0.1,0,0,20500.9520496,1,1,0,0,0,0,0,44.361623459
56,0.00251273856182,75414,75414,0.679993507899,-0.00804117101236,0.0483362901927,4.6228108869e-12,5.42736326663e-12,2551,1,0,23995.4426661,15.8021669388,27511,0,0,0.394423145294,0.999779501713,0,0.1,0,0,20418.100042,1,1,0,0,0,0,0,24.218863958
57,0.00251223152446,75415,75415,0.680002524706,0.00173597778894,0.0483362901927,3.21348429841e-12,5.34399840581e-12,2557,1,0,24752.1940408,16.3248343468,27605,0,0,0.395146216174,0.999779501713,0,0.1,0,0,20557.9872165,1,1,0,0,0,0,0,24.971218667
58,0.00251111529286,75415,75415,0.680002524706,-0.000788473947997,0.0483362901927,2.16717980615e-12,5.29640191342e-12,2556,1,0,24879.5084996,14.6367921829,27628,0,0,0.395810269959,0.999779501713,0,0.1,0,0,20585.9974424,1,1,0,0,0,0,0,25.0963739171
59,0.00251056414273,75414,75414,0.679993507899,-0.000470663686183,0.0483362901927,1.73576106155e-12,5.25170968261e-12,2558,1,0,27873.2045002,12.5964579582,27638,0,0,0.396617227766,0.999779501713,0,0.1,0,0,20628.3193836,1,1,0,0,0,0,0,27.9984760829
60,0.00250952985488,75415,75415,0.680002524706,-0.00146331320373,0.0483362901927,1.34742392532e-12,5.2373173314e-12,2554,1,0,27197.4425421,17.4942917824,27601,0,0,0.391737883255,0.999902000128,0,0.1,0,0,20605.184981,1,1,0,0,0,0,0,45.3785445411
61,0.00251248967745,75414,75414,0.679993507899,-0.00712539884879,0.0483362901927,3.37335507663e-12,5.39368577434e-12,2563,1,0,26165.1695833,13.7377495766,27590,0,0,0.390754086216,0.999902000128,0,0.1,0,0,20559.9352766,1,1,0,0,0,0,0,26.389081208
62,0.00251156235781,75415,75415,0.680002524706,0.00112422328078,0.0483362901927,2.22710804297e-12,5.32823488286e-12,2555,1,0,25735.6451664,14.9301247597,27595,0,0,0.391813769594,0.999902000128,0,0.1,0,0,20641.5487992,1,1,0,0,0,0,0,25.9659225419
63,0.00251120067217,75415,75415,0.680002524706,0.00090926829843,0.0483362901927,1.67967290096e-12,5.28276322398e-12,2557,1,0,25804.0932093,12.603208065,27659,0,0,0.392729475206,0.999902000128,0,0.1,0,0,20714.1816729,1,1,0,0,0,0,0,25.9254235839
64,0.00250980098116,75415,75415,0.680002524706,-0.00202302909305,0.0483362901927,1.55960725205e-12,5.23993080164e-12,2560,1,0,28891.597208,13.2225842476,27619,0,0,0.392972209341,0.999902000128,0,0.1,0,0,20702.629729,1,1,0,0,0,0,0,29.0686470829
65,0.00250982387364,75415,75415,0.680002524706,0.000227775539217,0.0483362901927,1.45757670942e-12,5.23326507733e-12,2557,1,0,27353.1739998,14.0689163208,27638,0,0,0.387787970231,0.999909680006,0,0.1,0,0,20720.0773889,1,1,0,0,0,0,0,46.3793862918
66,0.00251175385913,75414,75414,0.679993507899,-0.0071750655533,0.0483362901927,4.27150745274e-12,5.37637199614e-12,2547,1,0,25820.722084,13.7119579315,27671,0,0,0.38760530292,0.999909680006,0,0.1,0,0,20619.671099,1,1,0,0,0,0,0,26.0191206657
67,0.00251144816716,75415,75415,0.680002524706,0.00235481389867,0.0483362901927,2.80916682467e-12,5.29932827483e-12,2556,1,0,25818.3152499,13.1075000763,27731,0,0,0.388434112129,0.999909680006,0,0.1,0,0,20736.7932176,1,1,0,0,0,0,0,25.9408940002
68,0.00251002340727,75414,75414,0.679993507899,-0.00200906588724,0.0483362901927,1.79104844028e-12,5.25911186972e-12,2550,1,0,25765.9391246,13.1468753815,27717,0,0,0.389087513594,0.999909680006,0,0.1,0,0,20741.1436329,1,1,0,0,0,0,0,25.8963868329
69,0.00250989218881,75415,75415,0.680002524706,0.000819159046142,0.0483362901927,1.51705703862e-12,5.22696809321e-12,2552,1,0,25824.5465837,13.8651251793,27721,0,0,0.389967180457,0.999909680006,0,0.1,0,0,20773.2666728,1,1,0,0,0,0,0,25.9547516662
70,0.00250876927594,75414,75414,0.679993507899,-0.00192244485881,0.0483362901927,1.41141322125e-12,5.21281973359e-12,2555,1,0,32335.2080827,13.710375309,27703,0,0,0.385172528727,0.999842211566,0,0.1,0,0,20755.3828057,1,1,0,0,0,0,0,50.9774320419
71,0.00251196750435,75415,75415,0.680002524706,-0.00639182881741,0.0483362901927,2.90542723202e-12,5.36619966251e-12,2552,1,0,25247.1311669,13.5093750954,27689,0,0,0.384141082365,0.999842211566,0,0.1,0,0,20678.3180581,1,1,0,0,0,0,0,25.433536042
72,0.00251037248742,75414,75414,0.679993507899,-0.000746180455671,0.0483362901927,2.09274695809e-12,5.28003563841e-12,2551,1,0,24860.7795839,12.3002910614,27697,0,0,0.384524805875,0.999842211566,0,0.1,0,0,20762.084316,1,1,0,0,0,0,0,24.9686356671
73,0.00251030331121,75414,75414,0.679993507899,0.00162333639946,0.0483362901927,1.57612675959e-12,5.25025225897e-12,2553,1,0,24635.7210422,12.5146250725,27732,0,0,0.385826730387,0.999842211566,0,0.1,0,0,20830.3103773,1,1,0,0,0,0,0,24.83084775
74,0.00250904008135,75414,75414,0.679993507899,-0.00165758020462,0.0483362901927,1.48421897641e-12,5.21573046836e-12,2549,1,0,21935.4388752,11.8194999695,27697,0,0,0.386179734014,0.999842211566,0,0.1,0,0,20802.2759881,1,1,0,0,0,0,0,22.0371298753
75,0.00250873432294,75414,75414,0.679993507899,-0.000423186444442,0.0483362901927,1.40184769249e-12,5.19050937266e-12,2551,1,0,21814.1160421,11.8363747597,27691,0,0,0.379276580196,0.99967877938,0,0.1,0,0,20833.0534059,1,1,0,0,0,0,0,39.1995504592
76,0.00251019538514,75415,75415,0.680002524706,-0.00938783259574,0.0483362901927,3.11313473563e-12,5.31273908464e-12,2548,1,0,21919.0249577,12.4059591293,27751,0,0,0.377537737613,0.99967877938,0,0.1,0,0,20725.7742642,1,1,0,0,0,0,0,22.0398812499
77,0.00251062167764,75414,75414,0.679993507899,0.00426395120395,0.0483362901927,2.1519800259e-12,5.27611083112e-12,2550,1,0,21828.5644999,12.4358754158,27833,0,0,0.37892574345,0.99967877938,0,0.1,0,0,20830.3827379,1,1,0,0,0,0,0,21.9301580833
78,0.00250868247545,75414,75414,0.679993507899,-0.00323016455298,0.0483362901927,1.60546181845e-12,5.20488836333e-12,2550,1,0,21461.0555,13.3262076378,27794,0,0,0.379229670495,0.99967877938,0,0.1,0,0,20851.9631853,1,1,0,0,0,0,0,21.6548552089
79,0.00250917972647,75415,75415,0.680002524706,0.00210538419501,0.0483362901927,1.52684814623e-12,5.21455952033e-12,2549,1,0,21919.9076667,11.8927912712,27764,0,0,0.380391042426,0.99967877938,0,0.1,0,0,20843.7661902,1,1,0,0,0,0,0,22.0282364581
80,0.00250757795947,75414,75414,0.679993507899,-0.00272617360737,0.0483362901927,1.47922007906e-12,5.16401434476e-12,2550,1,0,23455.3062091,13.2585830688,27760,0,0,0.375452042731,0.999639187258,0,0.1,0,0,20876.3243509,1,1,0,0,0,0,0,41.7258344581
81,0.0025108837914,75415,75415,0.680002524706,-0.00699703435598,0.0483362901927,2.58699416466e-12,5.32797593442e-12,2557,1,0,24115.0430002,13.6887078285,27815,0,0,0.3755121735,0.999639187258,0,0.1,0,0,20777.3094245,1,1,0,0,0,0,0,24.2375359172
82,0.00250945186397,75415,75415,0.680002524706,-0.000184996358429,0.0483362901927,1.8193029383e-12,5.24135915522e-12,2554,1,0,24058.8416252,12.6455826759,27832,0,0,0.376198022553,0.999639187258,0,0.1,0,0,20870.8609376,1,1,0,0,0,0,0,24.1720896671
83,0.00250963718487,75414,75414,0.679993507899,0.00219138788229,0.0483362901927,1.62523722323e-12,5.23171598568e-12,2553,1,0,23941.6409998,12.444917202,27808,0,0,0.377210856716,0.999639187258,0,0.1,0,0,20916.2345999,1,1,0,0,0,0,0,24.1025105002
84,0.00250803425668,75414,75414,0.679993507899,-0.00237169619388,0.0483362901927,1.55931555114e-12,5.17129712109e-12,2557,1,0,26358.4262919,13.1372079849,27748,0,0,0.377975243322,0.999639187258,0,0.1,0,0,20907.2312799,1,1,0,0,0,0,0,26.4672485841
